name|description|frequency|category|zip_file|filenames|url
dereg_quota|Annual Motor Vehicles De-registered by Vehicle Quota Categories. All vehicles de-registered within the report period.|annual|Vehicle Registration|Annual Motor Vehicles De-registered by Vehicle Quota Categories|MVP05-1_Dereg_by_COE.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20Motor%20Vehicles%20De-registered%20by%20Vehicle%20Quota%20Categories.zip
reg_make_yr|Annual New Registration of Cars by Make. All cars newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Cars by Make|MVP02-2_New_Cars_by_make.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Cars%20by%20Make.zip
reg_type_yr|Annual New Registration of Cars by Make. All cars newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Cars by Make|MVP02-2_New_Cars_by_make_type.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Cars%20by%20Make.zip
reg_bus_make|Annual New Registration of Buses by Make. All goods vehicles and buses newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Goods Vehicles and Buses by Make|MVP02-4_New_CVS_by_make_Bus.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Goods%20Vehicles%20and%20Buses%20by%20Make.zip
reg_GV_make|Annual New Registration of Goods Vehicles by Make. All goods vehicles and buses newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Goods Vehicles and Buses by Make|MVP02-4_New_CVS_by_make_GV.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Goods%20Vehicles%20and%20Buses%20by%20Make.zip
reg_GV_type|Annual New Registration of Goods Vehicles and Buses by Make and Type. All goods vehicles and buses newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Goods Vehicles and Buses by Make|MVP02-4_New_CVS_by_make_type.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Goods%20Vehicles%20and%20Buses%20by%20Make.zip
reg_quota|Annual New Registration of Motor Vehicle by Vehicle Quota Categories. All vehicles newly registered by Vehicle Quota Categories within the report period.|annual|Vehicle Registration|Annual New Registration of Motor Vehicle by Vehicle Quota Categories|MVP02-1_New_Reg_by_COE.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Motor%20Vehicle%20by%20Vehicle%20Quota%20Categories.zip
reg_MC_make|Annual New Registration of Motorcycles by Make. All motorcycles and scooters newly registered by make within the report period.|annual|Vehicle Registration|Annual New Registration of Motorcycles by Make|MVP02-3_New_MC_by_make.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20New%20Registration%20of%20Motorcycles%20by%20Make.zip
reval_coe|Annual Revalidation of COE of Existing Vehicles. Number of COEs revalidated across vehicles from Cat A to Cat D.|annual|Vehicle Registration|Annual Revalidation of COE of Existing Vehicles|Annual_COE_Revalidation.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Annual%20Revalidation%20of%20COE%20of%20Existing%20Vehicles.zip
coe_results|COE Bidding Results. COE bidding results for each bidding exercise.|month|Vehicle Registration|COE Bidding Results|M11-coe_results.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/COE%20Bidding%20Results.zip
coe_pqp|COE PQP Results. COE bidding results for each bidding exercise.|month|Vehicle Registration|COE Bidding Results|M11-coe_results_pqp.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/COE%20Bidding%20Results.zip
dereg_vqs|Monthly De-Registered Motor Vehicles under Vehicle Quota System (VQS). All vehicles de-registered within the report period.|month|Vehicle Registration|Monthly De-Registered Motor Vehicles under Vehicle Quota System (VQS)|M05-Dereg_by_Quota.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20De-Registered%20Motor%20Vehicles%20under%20Vehicle%20Quota%20System%20(VQS).zip
reg_make_mth|Monthly New Registration of Cars by Make. All cars newly registered by make within the report period.|month|Vehicle Registration|Monthly New Registration of Cars by Make|M03-Car_Regn_by_make.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Cars%20by%20Make.zip
reg_gvbus_make_mth|Monthly New Registration of Goods Vehicles & Buses by Make. All goods vehicles and buses newly registered by make within the report period.|month|Vehicle Registration|Monthly New Registration of Goods Vehicles & Buses by Make|M08-CVS_Regn_by_make.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Goods%20Vehicles%20&%20Buses%20by%20Make.zip
reg_mc_make_mth|Monthly New Registration of Motorcycles by Make. All motorcycles and scooters newly registered by make within the report period.|month|Vehicle Registration|Monthly New Registration of Motorcycles by Make|M04-MC_Regn_by_make.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Motorcycles%20by%20Make.zip
reg_quota_mth|Monthly New Registration of Motor Vehicles by Vehicle Quota Categories. All vehicles newly registered by Vehicle Quota Categories within the report period.|month|Vehicle Registration|Monthly New Registration of Motor Vehicles by Vehicle Quota Categories|M02-New_Reg_by_Quota.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Motor%20Vehicles%20by%20Vehicle%20Quota%20Categories.zip
reg_opc_new_mth|Monthly New Registration of Off Peak Cars (Including Population of OPC/WEC). All newly and OPC (including ROPC/WEC) registered.|month|Vehicle Registration|Monthly New Registration of Off Peak Cars (Including Population of OPCWEC)|M061-OPC_Stat_new.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Off%20Peak%20Cars%20(Including%20Population%20of%20OPCWEC).zip
reg_opc_total_mth|Monthly Total of Off Peak Cars (Including Population of OPC/WEC). All newly and OPC (including ROPC/WEC) registered.|month|Vehicle Registration|Monthly New Registration of Off Peak Cars (Including Population of OPCWEC)|M061-OPC_Stat_total.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20New%20Registration%20of%20Off%20Peak%20Cars%20(Including%20Population%20of%20OPCWEC).zip
reval_coe_mth|Monthly Revalidation of COE of Existing Vehicles. Number of COEs revalidated across vehicles from Cat A to Cat D.|month|Vehicle Registration|Monthly Revalidation of COE of Existing Vehicles|M10-Monthly_COE_Revalidation.csv|https://www.mytransport.sg/content/dam/datamall/datasets/Facts_Figures/Vehicle%20Registration/Monthly%20Revalidation%20of%20COE%20of%20Existing%20Vehicles.zip
