year,type,category,number
2006,5 Year,Category A,273
2006,5 Year,Category B,38
2006,5 Year,Category C,750
2006,5 Year,Category D,526
2006,10 Year,Category A,751
2006,10 Year,Category B,565
2006,10 Year,Category C,2992
2006,10 Year,Category D,2523
2007,5 Year,Category A,165
2007,5 Year,Category B,32
2007,5 Year,Category C,229
2007,5 Year,Category D,771
2007,10 Year,Category A,230
2007,10 Year,Category B,343
2007,10 Year,Category C,28972
2007,10 Year,Category D,2597
2008,5 Year,Category A,153
2008,5 Year,Category B,102
2008,5 Year,Category C,376
2008,5 Year,Category D,1385
2008,10 Year,Category A,270
2008,10 Year,Category B,591
2008,10 Year,Category C,711
2008,10 Year,Category D,3473
2009,5 Year,Category A,127
2009,5 Year,Category B,70
2009,5 Year,Category C,614
2009,5 Year,Category D,1701
2009,10 Year,Category A,1405
2009,10 Year,Category B,1720
2009,10 Year,Category C,3309
2009,10 Year,Category D,4313
2010,5 Year,Category A,128
2010,5 Year,Category B,110
2010,5 Year,Category C,2615
2010,5 Year,Category D,1849
2010,10 Year,Category A,383
2010,10 Year,Category B,569
2010,10 Year,Category C,2454
2010,10 Year,Category D,5464
2011,5 Year,Category A,390
2011,5 Year,Category B,108
2011,5 Year,Category C,2486
2011,5 Year,Category D,2545
2011,10 Year,Category A,296
2011,10 Year,Category B,199
2011,10 Year,Category C,1920
2011,10 Year,Category D,5031
2012,5 Year,Category A,129
2012,5 Year,Category B,109
2012,5 Year,Category C,2267
2012,5 Year,Category D,5336
2012,10 Year,Category A,111
2012,10 Year,Category B,159
2012,10 Year,Category C,1805
2012,10 Year,Category D,8344
2013,5 Year,Category A,229
2013,5 Year,Category B,184
2013,5 Year,Category C,8030
2013,5 Year,Category D,4957
2013,10 Year,Category A,95
2013,10 Year,Category B,265
2013,10 Year,Category C,469
2013,10 Year,Category D,6851
2014,5 Year,Category A,997
2014,5 Year,Category B,510
2014,5 Year,Category C,13478
2014,5 Year,Category D,3087
2014,10 Year,Category A,237
2014,10 Year,Category B,500
2014,10 Year,Category C,462
2014,10 Year,Category D,4057
2015,5 Year,Category A,5881
2015,5 Year,Category B,2019
2015,5 Year,Category C,10581
2015,5 Year,Category D,3178
2015,10 Year,Category A,882
2015,10 Year,Category B,1137
2015,10 Year,Category C,247
2015,10 Year,Category D,2127
2016,5 Year,Category A,15181
2016,5 Year,Category B,7291
2016,5 Year,Category C,8487
2016,5 Year,Category D,3475
2016,10 Year,Category A,2758
2016,10 Year,Category B,4301
2016,10 Year,Category C,363
2016,10 Year,Category D,2447
2017,5 Year,Category A,13643
2017,5 Year,Category B,8104
2017,5 Year,Category C,16002
2017,5 Year,Category D,3721
2017,10 Year,Category A,3360
2017,10 Year,Category B,5981
2017,10 Year,Category C,969
2017,10 Year,Category D,4088
2018,5 Year,Category A,14781
2018,5 Year,Category B,6893
2018,5 Year,Category C,9428
2018,5 Year,Category D,2780
2018,10 Year,Category A,6221
2018,10 Year,Category B,9219
2018,10 Year,Category C,926
2018,10 Year,Category D,2712
2019,5 Year,Category A,15723
2019,5 Year,Category B,4372
2019,5 Year,Category C,9145
2019,5 Year,Category D,2406
2019,10 Year,Category A,10377
2019,10 Year,Category B,11305
2019,10 Year,Category C,1260
2019,10 Year,Category D,4035
