month,type,age,number
2016-01,Buses,0 - < 1,1778
2016-01,Buses,1 - < 2,1738
2016-01,Buses,2 - < 3,1333
2016-01,Buses,3 - < 4,1141
2016-01,Buses,4 - < 5,1444
2016-01,Buses,5 - < 6,1105
2016-01,Buses,6 - < 7,1330
2016-01,Buses,7 - < 8,1555
2016-01,Buses,8 - < 9,779
2016-01,Buses,9 - < 10,925
2016-01,Buses,10 - < 11,596
2016-01,Buses,11 - < 12,500
2016-01,Buses,12 - < 13,448
2016-01,Buses,13 - < 14,360
2016-01,Buses,14 - < 15,577
2016-01,Buses,15 - < 16,785
2016-01,Buses,16 - < 17,449
2016-01,Buses,17 - < 18,353
2016-01,Buses,18 - < 19,485
2016-01,Buses,19 - < 20,131
2016-01,Buses,20 and above,0
2016-01,Cars,0 - < 1,60902
2016-01,Cars,1 - < 2,29995
2016-01,Cars,2 - < 3,21737
2016-01,Cars,3 - < 4,27350
2016-01,Cars,4 - < 5,27360
2016-01,Cars,5 - < 6,37643
2016-01,Cars,6 - < 7,68182
2016-01,Cars,7 - < 8,93384
2016-01,Cars,8 - < 9,103474
2016-01,Cars,9 - < 10,109104
2016-01,Cars,10 - < 11,11233
2016-01,Cars,11 - < 12,2188
2016-01,Cars,12 - < 13,621
2016-01,Cars,13 - < 14,376
2016-01,Cars,14 - < 15,497
2016-01,Cars,15 - < 16,455
2016-01,Cars,16 - < 17,438
2016-01,Cars,17 - < 18,461
2016-01,Cars,18 - < 19,390
2016-01,Cars,19 - < 20,926
2016-01,Cars,20 and above,5086
2016-01,Goods and Other Vehicles,0 - < 1,14409
2016-01,Goods and Other Vehicles,1 - < 2,11444
2016-01,Goods and Other Vehicles,2 - < 3,5603
2016-01,Goods and Other Vehicles,3 - < 4,4042
2016-01,Goods and Other Vehicles,4 - < 5,5098
2016-01,Goods and Other Vehicles,5 - < 6,3818
2016-01,Goods and Other Vehicles,6 - < 7,5480
2016-01,Goods and Other Vehicles,7 - < 8,8481
2016-01,Goods and Other Vehicles,8 - < 9,10547
2016-01,Goods and Other Vehicles,9 - < 10,11202
2016-01,Goods and Other Vehicles,10 - < 11,9519
2016-01,Goods and Other Vehicles,11 - < 12,11997
2016-01,Goods and Other Vehicles,12 - < 13,8650
2016-01,Goods and Other Vehicles,13 - < 14,4375
2016-01,Goods and Other Vehicles,14 - < 15,6365
2016-01,Goods and Other Vehicles,15 - < 16,9002
2016-01,Goods and Other Vehicles,16 - < 17,4067
2016-01,Goods and Other Vehicles,17 - < 18,5485
2016-01,Goods and Other Vehicles,18 - < 19,2551
2016-01,Goods and Other Vehicles,19 - < 20,1816
2016-01,Goods and Other Vehicles,20 and above,134
2016-01,Motorcycles,0 - < 1,7353
2016-01,Motorcycles,1 - < 2,7768
2016-01,Motorcycles,2 - < 3,11616
2016-01,Motorcycles,3 - < 4,9982
2016-01,Motorcycles,4 - < 5,7658
2016-01,Motorcycles,5 - < 6,7815
2016-01,Motorcycles,6 - < 7,8414
2016-01,Motorcycles,7 - < 8,9300
2016-01,Motorcycles,8 - < 9,9459
2016-01,Motorcycles,9 - < 10,9409
2016-01,Motorcycles,10 - < 11,4970
2016-01,Motorcycles,11 - < 12,5875
2016-01,Motorcycles,12 - < 13,8020
2016-01,Motorcycles,13 - < 14,8805
2016-01,Motorcycles,14 - < 15,5504
2016-01,Motorcycles,15 - < 16,3797
2016-01,Motorcycles,16 - < 17,2950
2016-01,Motorcycles,17 - < 18,2421
2016-01,Motorcycles,18 - < 19,1877
2016-01,Motorcycles,19 - < 20,1349
2016-01,Motorcycles,20 and above,8895
2016-02,Buses,0 - < 1,1773
2016-02,Buses,1 - < 2,1804
2016-02,Buses,2 - < 3,1324
2016-02,Buses,3 - < 4,1128
2016-02,Buses,4 - < 5,1488
2016-02,Buses,5 - < 6,1083
2016-02,Buses,6 - < 7,1311
2016-02,Buses,7 - < 8,1592
2016-02,Buses,8 - < 9,806
2016-02,Buses,9 - < 10,921
2016-02,Buses,10 - < 11,580
2016-02,Buses,11 - < 12,508
2016-02,Buses,12 - < 13,434
2016-02,Buses,13 - < 14,381
2016-02,Buses,14 - < 15,549
2016-02,Buses,15 - < 16,782
2016-02,Buses,16 - < 17,454
2016-02,Buses,17 - < 18,335
2016-02,Buses,18 - < 19,483
2016-02,Buses,19 - < 20,135
2016-02,Buses,20 and above,0
2016-02,Cars,0 - < 1,63711
2016-02,Cars,1 - < 2,31044
2016-02,Cars,2 - < 3,22242
2016-02,Cars,3 - < 4,26085
2016-02,Cars,4 - < 5,28278
2016-02,Cars,5 - < 6,35242
2016-02,Cars,6 - < 7,65140
2016-02,Cars,7 - < 8,93542
2016-02,Cars,8 - < 9,101715
2016-02,Cars,9 - < 10,109835
2016-02,Cars,10 - < 11,12287
2016-02,Cars,11 - < 12,2398
2016-02,Cars,12 - < 13,692
2016-02,Cars,13 - < 14,372
2016-02,Cars,14 - < 15,484
2016-02,Cars,15 - < 16,472
2016-02,Cars,16 - < 17,421
2016-02,Cars,17 - < 18,456
2016-02,Cars,18 - < 19,396
2016-02,Cars,19 - < 20,897
2016-02,Cars,20 and above,5108
2016-02,Goods and Other Vehicles,0 - < 1,14902
2016-02,Goods and Other Vehicles,1 - < 2,11324
2016-02,Goods and Other Vehicles,2 - < 3,5963
2016-02,Goods and Other Vehicles,3 - < 4,3870
2016-02,Goods and Other Vehicles,4 - < 5,5199
2016-02,Goods and Other Vehicles,5 - < 6,3886
2016-02,Goods and Other Vehicles,6 - < 7,5120
2016-02,Goods and Other Vehicles,7 - < 8,8480
2016-02,Goods and Other Vehicles,8 - < 9,10545
2016-02,Goods and Other Vehicles,9 - < 10,10994
2016-02,Goods and Other Vehicles,10 - < 11,9267
2016-02,Goods and Other Vehicles,11 - < 12,11579
2016-02,Goods and Other Vehicles,12 - < 13,9276
2016-02,Goods and Other Vehicles,13 - < 14,4640
2016-02,Goods and Other Vehicles,14 - < 15,5132
2016-02,Goods and Other Vehicles,15 - < 16,9921
2016-02,Goods and Other Vehicles,16 - < 17,3924
2016-02,Goods and Other Vehicles,17 - < 18,5402
2016-02,Goods and Other Vehicles,18 - < 19,2722
2016-02,Goods and Other Vehicles,19 - < 20,1771
2016-02,Goods and Other Vehicles,20 and above,137
2016-02,Motorcycles,0 - < 1,7452
2016-02,Motorcycles,1 - < 2,7506
2016-02,Motorcycles,2 - < 3,11583
2016-02,Motorcycles,3 - < 4,9877
2016-02,Motorcycles,4 - < 5,8027
2016-02,Motorcycles,5 - < 6,7767
2016-02,Motorcycles,6 - < 7,8273
2016-02,Motorcycles,7 - < 8,9248
2016-02,Motorcycles,8 - < 9,9573
2016-02,Motorcycles,9 - < 10,9172
2016-02,Motorcycles,10 - < 11,5015
2016-02,Motorcycles,11 - < 12,5564
2016-02,Motorcycles,12 - < 13,7932
2016-02,Motorcycles,13 - < 14,9130
2016-02,Motorcycles,14 - < 15,5366
2016-02,Motorcycles,15 - < 16,3952
2016-02,Motorcycles,16 - < 17,3064
2016-02,Motorcycles,17 - < 18,2361
2016-02,Motorcycles,18 - < 19,1944
2016-02,Motorcycles,19 - < 20,1348
2016-02,Motorcycles,20 and above,8874
2016-03,Buses,0 - < 1,1854
2016-03,Buses,1 - < 2,1857
2016-03,Buses,2 - < 3,1288
2016-03,Buses,3 - < 4,1164
2016-03,Buses,4 - < 5,1451
2016-03,Buses,5 - < 6,1093
2016-03,Buses,6 - < 7,1274
2016-03,Buses,7 - < 8,1669
2016-03,Buses,8 - < 9,846
2016-03,Buses,9 - < 10,899
2016-03,Buses,10 - < 11,577
2016-03,Buses,11 - < 12,511
2016-03,Buses,12 - < 13,422
2016-03,Buses,13 - < 14,407
2016-03,Buses,14 - < 15,501
2016-03,Buses,15 - < 16,792
2016-03,Buses,16 - < 17,424
2016-03,Buses,17 - < 18,338
2016-03,Buses,18 - < 19,431
2016-03,Buses,19 - < 20,129
2016-03,Buses,20 and above,0
2016-03,Cars,0 - < 1,66851
2016-03,Cars,1 - < 2,33000
2016-03,Cars,2 - < 3,22496
2016-03,Cars,3 - < 4,25120
2016-03,Cars,4 - < 5,28382
2016-03,Cars,5 - < 6,33314
2016-03,Cars,6 - < 7,61867
2016-03,Cars,7 - < 8,93349
2016-03,Cars,8 - < 9,99648
2016-03,Cars,9 - < 10,107594
2016-03,Cars,10 - < 11,14383
2016-03,Cars,11 - < 12,2771
2016-03,Cars,12 - < 13,810
2016-03,Cars,13 - < 14,373
2016-03,Cars,14 - < 15,446
2016-03,Cars,15 - < 16,479
2016-03,Cars,16 - < 17,401
2016-03,Cars,17 - < 18,478
2016-03,Cars,18 - < 19,362
2016-03,Cars,19 - < 20,841
2016-03,Cars,20 and above,5097
2016-03,Goods and Other Vehicles,0 - < 1,15736
2016-03,Goods and Other Vehicles,1 - < 2,11449
2016-03,Goods and Other Vehicles,2 - < 3,6474
2016-03,Goods and Other Vehicles,3 - < 4,3858
2016-03,Goods and Other Vehicles,4 - < 5,5036
2016-03,Goods and Other Vehicles,5 - < 6,3993
2016-03,Goods and Other Vehicles,6 - < 7,4990
2016-03,Goods and Other Vehicles,7 - < 8,8261
2016-03,Goods and Other Vehicles,8 - < 9,10375
2016-03,Goods and Other Vehicles,9 - < 10,10609
2016-03,Goods and Other Vehicles,10 - < 11,8604
2016-03,Goods and Other Vehicles,11 - < 12,11462
2016-03,Goods and Other Vehicles,12 - < 13,9929
2016-03,Goods and Other Vehicles,13 - < 14,5035
2016-03,Goods and Other Vehicles,14 - < 15,3830
2016-03,Goods and Other Vehicles,15 - < 16,10751
2016-03,Goods and Other Vehicles,16 - < 17,3540
2016-03,Goods and Other Vehicles,17 - < 18,5398
2016-03,Goods and Other Vehicles,18 - < 19,2825
2016-03,Goods and Other Vehicles,19 - < 20,1472
2016-03,Goods and Other Vehicles,20 and above,138
2016-03,Motorcycles,0 - < 1,7472
2016-03,Motorcycles,1 - < 2,7531
2016-03,Motorcycles,2 - < 3,11157
2016-03,Motorcycles,3 - < 4,10059
2016-03,Motorcycles,4 - < 5,8226
2016-03,Motorcycles,5 - < 6,7666
2016-03,Motorcycles,6 - < 7,8210
2016-03,Motorcycles,7 - < 8,9258
2016-03,Motorcycles,8 - < 9,9373
2016-03,Motorcycles,9 - < 10,9020
2016-03,Motorcycles,10 - < 11,5120
2016-03,Motorcycles,11 - < 12,5305
2016-03,Motorcycles,12 - < 13,7810
2016-03,Motorcycles,13 - < 14,9269
2016-03,Motorcycles,14 - < 15,5484
2016-03,Motorcycles,15 - < 16,4090
2016-03,Motorcycles,16 - < 17,3148
2016-03,Motorcycles,17 - < 18,2410
2016-03,Motorcycles,18 - < 19,1931
2016-03,Motorcycles,19 - < 20,1256
2016-03,Motorcycles,20 and above,8886
2016-04,Buses,0 - < 1,1871
2016-04,Buses,1 - < 2,1906
2016-04,Buses,2 - < 3,1272
2016-04,Buses,3 - < 4,1173
2016-04,Buses,4 - < 5,1452
2016-04,Buses,5 - < 6,1081
2016-04,Buses,6 - < 7,1327
2016-04,Buses,7 - < 8,1599
2016-04,Buses,8 - < 9,915
2016-04,Buses,9 - < 10,906
2016-04,Buses,10 - < 11,560
2016-04,Buses,11 - < 12,521
2016-04,Buses,12 - < 13,419
2016-04,Buses,13 - < 14,423
2016-04,Buses,14 - < 15,449
2016-04,Buses,15 - < 16,810
2016-04,Buses,16 - < 17,388
2016-04,Buses,17 - < 18,322
2016-04,Buses,18 - < 19,424
2016-04,Buses,19 - < 20,119
2016-04,Buses,20 and above,0
2016-04,Cars,0 - < 1,70187
2016-04,Cars,1 - < 2,35114
2016-04,Cars,2 - < 3,22322
2016-04,Cars,3 - < 4,24769
2016-04,Cars,4 - < 5,28111
2016-04,Cars,5 - < 6,32639
2016-04,Cars,6 - < 7,59253
2016-04,Cars,7 - < 8,90523
2016-04,Cars,8 - < 9,99230
2016-04,Cars,9 - < 10,107022
2016-04,Cars,10 - < 11,16024
2016-04,Cars,11 - < 12,3192
2016-04,Cars,12 - < 13,916
2016-04,Cars,13 - < 14,383
2016-04,Cars,14 - < 15,421
2016-04,Cars,15 - < 16,478
2016-04,Cars,16 - < 17,379
2016-04,Cars,17 - < 18,485
2016-04,Cars,18 - < 19,361
2016-04,Cars,19 - < 20,722
2016-04,Cars,20 and above,5117
2016-04,Goods and Other Vehicles,0 - < 1,16494
2016-04,Goods and Other Vehicles,1 - < 2,11697
2016-04,Goods and Other Vehicles,2 - < 3,6666
2016-04,Goods and Other Vehicles,3 - < 4,3936
2016-04,Goods and Other Vehicles,4 - < 5,4982
2016-04,Goods and Other Vehicles,5 - < 6,4135
2016-04,Goods and Other Vehicles,6 - < 7,4809
2016-04,Goods and Other Vehicles,7 - < 8,7890
2016-04,Goods and Other Vehicles,8 - < 9,10401
2016-04,Goods and Other Vehicles,9 - < 10,10470
2016-04,Goods and Other Vehicles,10 - < 11,8245
2016-04,Goods and Other Vehicles,11 - < 12,11390
2016-04,Goods and Other Vehicles,12 - < 13,10064
2016-04,Goods and Other Vehicles,13 - < 14,5359
2016-04,Goods and Other Vehicles,14 - < 15,3363
2016-04,Goods and Other Vehicles,15 - < 16,10517
2016-04,Goods and Other Vehicles,16 - < 17,3123
2016-04,Goods and Other Vehicles,17 - < 18,5091
2016-04,Goods and Other Vehicles,18 - < 19,3059
2016-04,Goods and Other Vehicles,19 - < 20,1377
2016-04,Goods and Other Vehicles,20 and above,138
2016-04,Motorcycles,0 - < 1,7532
2016-04,Motorcycles,1 - < 2,7629
2016-04,Motorcycles,2 - < 3,10757
2016-04,Motorcycles,3 - < 4,10192
2016-04,Motorcycles,4 - < 5,8489
2016-04,Motorcycles,5 - < 6,7544
2016-04,Motorcycles,6 - < 7,8189
2016-04,Motorcycles,7 - < 8,9049
2016-04,Motorcycles,8 - < 9,9361
2016-04,Motorcycles,9 - < 10,9032
2016-04,Motorcycles,10 - < 11,5062
2016-04,Motorcycles,11 - < 12,5408
2016-04,Motorcycles,12 - < 13,7428
2016-04,Motorcycles,13 - < 14,9287
2016-04,Motorcycles,14 - < 15,5831
2016-04,Motorcycles,15 - < 16,4057
2016-04,Motorcycles,16 - < 17,3253
2016-04,Motorcycles,17 - < 18,2291
2016-04,Motorcycles,18 - < 19,2115
2016-04,Motorcycles,19 - < 20,1267
2016-04,Motorcycles,20 and above,8942
2016-05,Buses,0 - < 1,1865
2016-05,Buses,1 - < 2,1933
2016-05,Buses,2 - < 3,1279
2016-05,Buses,3 - < 4,1151
2016-05,Buses,4 - < 5,1484
2016-05,Buses,5 - < 6,1067
2016-05,Buses,6 - < 7,1327
2016-05,Buses,7 - < 8,1554
2016-05,Buses,8 - < 9,998
2016-05,Buses,9 - < 10,905
2016-05,Buses,10 - < 11,569
2016-05,Buses,11 - < 12,528
2016-05,Buses,12 - < 13,422
2016-05,Buses,13 - < 14,412
2016-05,Buses,14 - < 15,423
2016-05,Buses,15 - < 16,832
2016-05,Buses,16 - < 17,380
2016-05,Buses,17 - < 18,320
2016-05,Buses,18 - < 19,411
2016-05,Buses,19 - < 20,134
2016-05,Buses,20 and above,0
2016-05,Cars,0 - < 1,73811
2016-05,Cars,1 - < 2,37557
2016-05,Cars,2 - < 3,22299
2016-05,Cars,3 - < 4,24623
2016-05,Cars,4 - < 5,28044
2016-05,Cars,5 - < 6,31953
2016-05,Cars,6 - < 7,56224
2016-05,Cars,7 - < 8,88235
2016-05,Cars,8 - < 9,98658
2016-05,Cars,9 - < 10,105689
2016-05,Cars,10 - < 11,18374
2016-05,Cars,11 - < 12,3632
2016-05,Cars,12 - < 13,998
2016-05,Cars,13 - < 14,386
2016-05,Cars,14 - < 15,346
2016-05,Cars,15 - < 16,512
2016-05,Cars,16 - < 17,391
2016-05,Cars,17 - < 18,477
2016-05,Cars,18 - < 19,373
2016-05,Cars,19 - < 20,676
2016-05,Cars,20 and above,5140
2016-05,Goods and Other Vehicles,0 - < 1,17308
2016-05,Goods and Other Vehicles,1 - < 2,11632
2016-05,Goods and Other Vehicles,2 - < 3,6948
2016-05,Goods and Other Vehicles,3 - < 4,4124
2016-05,Goods and Other Vehicles,4 - < 5,4867
