month,category,number
2014-01,Category A,844
2014-01,Category B,1224
2014-01,Category C,309
2014-01,Category C-ETS,123
2014-01,Category D,1017
2014-01,Taxis,227
2014-01,Vehicles Exempted From VQS,211
2014-02,Category A,754
2014-02,Category B,1105
2014-02,Category C,355
2014-02,Category C-ETS,239
2014-02,Category D,729
2014-02,Taxis,205
2014-02,Vehicles Exempted From VQS,130
2014-03,Category A,806
2014-03,Category B,1154
2014-03,Category C,563
2014-03,Category C-ETS,362
2014-03,Category D,597
2014-03,Taxis,548
2014-03,Vehicles Exempted From VQS,207
2014-04,Category A,768
2014-04,Category B,964
2014-04,Category C,465
2014-04,Category C-ETS,250
2014-04,Category D,576
2014-04,Taxis,412
2014-04,Vehicles Exempted From VQS,201
2014-05,Category A,905
2014-05,Category B,1222
2014-05,Category C,541
2014-05,Category C-ETS,249
2014-05,Category D,588
2014-05,Taxis,169
2014-05,Vehicles Exempted From VQS,182
2014-06,Category A,963
2014-06,Category B,1437
2014-06,Category C,640
2014-06,Category C-ETS,413
2014-06,Category D,619
2014-06,Taxis,434
2014-06,Vehicles Exempted From VQS,213
2014-07,Category A,937
2014-07,Category B,1312
2014-07,Category C,733
2014-07,Category C-ETS,704
2014-07,Category D,711
2014-07,Taxis,369
2014-07,Vehicles Exempted From VQS,276
2014-08,Category A,1081
2014-08,Category B,1477
2014-08,Category C,572
2014-08,Category C-ETS,818
2014-08,Category D,689
2014-08,Taxis,350
2014-08,Vehicles Exempted From VQS,264
2014-09,Category A,1256
2014-09,Category B,1678
2014-09,Category C,664
2014-09,Category C-ETS,535
2014-09,Category D,862
2014-09,Taxis,512
2014-09,Vehicles Exempted From VQS,201
2014-10,Category A,1261
2014-10,Category B,1487
2014-10,Category C,706
2014-10,Category C-ETS,842
2014-10,Category D,531
2014-10,Taxis,245
2014-10,Vehicles Exempted From VQS,252
2014-11,Category A,1269
2014-11,Category B,1640
2014-11,Category C,424
2014-11,Category C-ETS,728
2014-11,Category D,538
2014-11,Taxis,267
2014-11,Vehicles Exempted From VQS,224
2014-12,Category A,1482
2014-12,Category B,1589
2014-12,Category C,326
2014-12,Category C-ETS,408
2014-12,Category D,688
2014-12,Taxis,454
2014-12,Vehicles Exempted From VQS,306
2015-01,Category A,1547
2015-01,Category B,1972
2015-01,Category C,442
2015-01,Category C-ETS,296
2015-01,Category D,670
2015-01,Taxis,241
2015-01,Vehicles Exempted From VQS,230
2015-02,Category A,1306
2015-02,Category B,1589
2015-02,Category C,271
2015-02,Category C-ETS,222
2015-02,Category D,485
2015-02,Taxis,226
2015-02,Vehicles Exempted From VQS,205
2015-03,Category A,1958
2015-03,Category B,1958
2015-03,Category C,491
2015-03,Category C-ETS,579
2015-03,Category D,622
2015-03,Taxis,499
2015-03,Vehicles Exempted From VQS,232
2015-04,Category A,1866
2015-04,Category B,1976
2015-04,Category C,341
2015-04,Category C-ETS,631
2015-04,Category D,653
2015-04,Taxis,344
2015-04,Vehicles Exempted From VQS,197
2015-05,Category A,2501
2015-05,Category B,2070
2015-05,Category C,503
2015-05,Category C-ETS,239
2015-05,Category D,562
2015-05,Taxis,629
2015-05,Vehicles Exempted From VQS,230
2015-06,Category A,3853
2015-06,Category B,3134
2015-06,Category C,619
2015-06,Category C-ETS,257
2015-06,Category D,638
2015-06,Taxis,251
2015-06,Vehicles Exempted From VQS,182
2015-07,Category A,1777
2015-07,Category B,1390
2015-07,Category C,616
2015-07,Category C-ETS,317
2015-07,Category D,636
2015-07,Taxis,181
2015-07,Vehicles Exempted From VQS,173
2015-08,Category A,2446
2015-08,Category B,2241
2015-08,Category C,426
2015-08,Category C-ETS,1552
2015-08,Category D,589
2015-08,Taxis,246
2015-08,Vehicles Exempted From VQS,181
2015-09,Category A,2811
2015-09,Category B,2437
2015-09,Category C,454
2015-09,Category C-ETS,1405
2015-09,Category D,623
2015-09,Taxis,316
2015-09,Vehicles Exempted From VQS,175
2015-10,Category A,3667
2015-10,Category B,2428
2015-10,Category C,493
2015-10,Category C-ETS,1290
2015-10,Category D,676
2015-10,Taxis,482
2015-10,Vehicles Exempted From VQS,193
2015-11,Category A,3564
2015-11,Category B,2597
2015-11,Category C,437
2015-11,Category C-ETS,1062
2015-11,Category D,578
2015-11,Taxis,342
2015-11,Vehicles Exempted From VQS,203
2015-12,Category A,3676
2015-12,Category B,2688
2015-12,Category C,480
