month,make,number
2016-01,ADIVA,39
2016-01,APRILIA,3
2016-01,B.M.W.,37
2016-01,BAJAJ,15
2016-01,DAELIM,4
2016-01,DUCATI,1
2016-01,HARLEY DAVIDSON,11
2016-01,HONDA,166
2016-01,HUSQVARNA,1
2016-01,INDIAN,1
2016-01,JIANSHE,0
2016-01,K.T.M.,26
2016-01,KAWASAKI,7
2016-01,KEEWAY,3
2016-01,KYMCO,14
2016-01,M.V. AGUSTA,2
2016-01,MOTO GUZZI,7
2016-01,P.G.O.,1
2016-01,PIAGGIO,26
2016-01,RIEJU,0
2016-01,SUZUKI,20
2016-01,SYM,18
2016-01,TGB,1
2016-01,TRIUMPH,0
2016-01,VICTORY,0
2016-01,YAMAHA,259
2016-01,ZONGSHEN,5
2016-02,ADIVA,3
2016-02,APRILIA,18
2016-02,B.M.W.,29
2016-02,BAJAJ,19
2016-02,DAELIM,3
2016-02,DUCATI,4
2016-02,HARLEY DAVIDSON,8
2016-02,HONDA,187
2016-02,HUSQVARNA,2
2016-02,INDIAN,0
2016-02,JIANSHE,2
2016-02,K.T.M.,26
2016-02,KAWASAKI,7
2016-02,KEEWAY,0
2016-02,KYMCO,20
2016-02,M.V. AGUSTA,4
2016-02,MOTO GUZZI,2
2016-02,P.G.O.,0
2016-02,PIAGGIO,19
2016-02,RIEJU,1
2016-02,SUZUKI,10
2016-02,SYM,19
2016-02,TGB,2
2016-02,TRIUMPH,4
2016-02,VICTORY,0
2016-02,YAMAHA,204
2016-02,ZONGSHEN,3
2016-03,ADIVA,13
2016-03,APRILIA,9
2016-03,B.M.W.,39
2016-03,BAJAJ,13
2016-03,DAELIM,5
2016-03,DUCATI,6
2016-03,HARLEY DAVIDSON,15
2016-03,HONDA,174
2016-03,HUSQVARNA,0
2016-03,INDIAN,0
2016-03,JIANSHE,4
2016-03,K.T.M.,33
2016-03,KAWASAKI,9
2016-03,KEEWAY,1
2016-03,KYMCO,14
2016-03,M.V. AGUSTA,11
2016-03,MOTO GUZZI,1
2016-03,P.G.O.,3
2016-03,PIAGGIO,32
2016-03,RIEJU,1
2016-03,SUZUKI,13
2016-03,SYM,23
2016-03,TGB,1
2016-03,TRIUMPH,6
2016-03,VICTORY,1
2016-03,YAMAHA,243
2016-03,ZONGSHEN,2
2016-04,ADIVA,11
2016-04,APRILIA,4
2016-04,B.M.W.,11
2016-04,BAJAJ,21
2016-04,CAN-AM,1
2016-04,DAELIM,1
2016-04,DUCATI,5
2016-04,HARLEY DAVIDSON,10
2016-04,HONDA,194
2016-04,HUSQVARNA,2
2016-04,INDIAN,0
2016-04,JIANSHE,1
2016-04,K.T.M.,25
2016-04,KAWASAKI,13
2016-04,KEEWAY,0
2016-04,KYMCO,21
2016-04,LAMBRETTA,0
2016-04,M.V. AGUSTA,4
2016-04,MOTO GUZZI,2
2016-04,P.G.O.,10
2016-04,PIAGGIO,27
2016-04,QINGQI,0
2016-04,RIEJU,0
2016-04,ROYAL ENFIELD,0
2016-04,SCOMADI,0
2016-04,SUZUKI,16
2016-04,SYM,28
2016-04,TGB,0
2016-04,TRIUMPH,3
2016-04,VICTORY,0
2016-04,YAMAHA,309
2016-04,ZONGSHEN,3
2016-05,ADIVA,3
2016-05,APRILIA,3
2016-05,B.M.W.,26
2016-05,BAJAJ,6
2016-05,CAN-AM,0
2016-05,DAELIM,1
2016-05,DUCATI,12
2016-05,HARLEY DAVIDSON,4
2016-05,HONDA,157
2016-05,HUSQVARNA,1
2016-05,INDIAN,0
2016-05,JIANSHE,1
2016-05,K.T.M.,29
2016-05,KAWASAKI,4
2016-05,KEEWAY,0
2016-05,KYMCO,17
2016-05,LAMBRETTA,1
2016-05,M.V. AGUSTA,4
2016-05,MOTO GUZZI,3
2016-05,P.G.O.,8
2016-05,PIAGGIO,39
2016-05,QINGQI,0
2016-05,RIEJU,0
2016-05,ROYAL ENFIELD,2
2016-05,SCOMADI,0
2016-05,SUZUKI,56
2016-05,SYM,16
2016-05,TGB,1
2016-05,TRIUMPH,8
2016-05,VICTORY,0
2016-05,YAMAHA,286
2016-05,ZONGSHEN,1
2016-06,ADIVA,22
2016-06,APRILIA,8
2016-06,B.M.W.,38
2016-06,BAJAJ,14
2016-06,CAN-AM,0
2016-06,DAELIM,1
2016-06,DUCATI,9
2016-06,HARLEY DAVIDSON,5
2016-06,HONDA,164
2016-06,HUSQVARNA,0
2016-06,INDIAN,0
2016-06,JIANSHE,5
2016-06,K.T.M.,41
2016-06,KAWASAKI,6
2016-06,KEEWAY,0
2016-06,KYMCO,13
2016-06,LAMBRETTA,0
2016-06,M.V. AGUSTA,0
2016-06,MOTO GUZZI,1
2016-06,P.G.O.,8
2016-06,PIAGGIO,26
2016-06,QINGQI,0
2016-06,RIEJU,0
2016-06,ROYAL ENFIELD,1
2016-06,SCOMADI,26
2016-06,SUZUKI,61
2016-06,SYM,24
2016-06,TGB,0
2016-06,TRIUMPH,10
2016-06,VICTORY,0
2016-06,YAMAHA,261
2016-06,ZONGSHEN,1
2016-07,ADIVA,20
2016-07,APRILIA,4
2016-07,B.M.W.,49
2016-07,BAJAJ,11
2016-07,CAN-AM,0
2016-07,DAELIM,2
2016-07,DUCATI,12
2016-07,HARLEY DAVIDSON,10
2016-07,HONDA,268
2016-07,HUSQVARNA,1
