month,category,number
2014-01,Category A,1011
2014-01,Category B,927
2014-01,Category C,711
2014-01,Category D,760
2014-01,Taxis,143
2014-01,Vehicles Exempted from VQS,78
2014-02,Category A,1104
2014-02,Category B,926
2014-02,Category C,832
2014-02,Category D,668
2014-02,Taxis,286
2014-02,Vehicles Exempted from VQS,101
2014-03,Category A,1330
2014-03,Category B,1308
2014-03,Category C,1700
2014-03,Category D,796
2014-03,Taxis,546
2014-03,Vehicles Exempted from VQS,125
2014-04,Category A,1347
2014-04,Category B,1068
2014-04,Category C,1267
2014-04,Category D,742
2014-04,Taxis,358
2014-04,Vehicles Exempted from VQS,76
2014-05,Category A,1271
2014-05,Category B,1101
2014-05,Category C,590
2014-05,Category D,637
2014-05,Taxis,214
2014-05,Vehicles Exempted from VQS,63
2014-06,Category A,1291
2014-06,Category B,1127
2014-06,Category C,716
2014-06,Category D,643
2014-06,Taxis,278
2014-06,Vehicles Exempted from VQS,78
2014-07,Category A,1507
2014-07,Category B,1217
2014-07,Category C,951
2014-07,Category D,733
2014-07,Taxis,297
2014-07,Vehicles Exempted from VQS,129
2014-08,Category A,1415
2014-08,Category B,1224
2014-08,Category C,1162
2014-08,Category D,673
2014-08,Taxis,317
2014-08,Vehicles Exempted from VQS,101
2014-09,Category A,1875
2014-09,Category B,1312
2014-09,Category C,842
2014-09,Category D,624
2014-09,Taxis,363
2014-09,Vehicles Exempted from VQS,126
2014-10,Category A,2080
2014-10,Category B,1433
2014-10,Category C,1178
2014-10,Category D,631
2014-10,Taxis,35
2014-10,Vehicles Exempted from VQS,131
2014-11,Category A,2068
2014-11,Category B,1449
2014-11,Category C,1082
2014-11,Category D,592
2014-11,Taxis,84
2014-11,Vehicles Exempted from VQS,104
2014-12,Category A,2263
2014-12,Category B,1719
2014-12,Category C,837
2014-12,Category D,553
2014-12,Taxis,230
2014-12,Vehicles Exempted from VQS,165
2015-01,Category A,3174
2015-01,Category B,2095
2015-01,Category C,834
2015-01,Category D,693
2015-01,Taxis,462
2015-01,Vehicles Exempted from VQS,125
2015-02,Category A,2142
2015-02,Category B,1474
2015-02,Category C,761
2015-02,Category D,613
2015-02,Taxis,204
2015-02,Vehicles Exempted from VQS,143
2015-03,Category A,4030
2015-03,Category B,2416
2015-03,Category C,1796
2015-03,Category D,759
2015-03,Taxis,364
2015-03,Vehicles Exempted from VQS,83
2015-04,Category A,3618
2015-04,Category B,2289
2015-04,Category C,1029
2015-04,Category D,763
2015-04,Taxis,410
2015-04,Vehicles Exempted from VQS,98
2015-05,Category A,3627
2015-05,Category B,2191
2015-05,Category C,576
2015-05,Category D,757
2015-05,Taxis,443
2015-05,Vehicles Exempted from VQS,95
2015-06,Category A,3761
2015-06,Category B,2362
2015-06,Category C,629
2015-06,Category D,738
2015-06,Taxis,357
2015-06,Vehicles Exempted from VQS,84
