month,number
2013-01,44836
2013-02,44623
2013-03,44347
2013-04,44049
2013-05,43760
2013-06,43584
2013-07,43370
2013-08,43177
2013-09,42949
2013-10,42715
2013-11,42479
2013-12,42233
2014-01,41941
2014-02,41674
2014-03,41344
2014-04,41009
2014-05,40726
2014-06,40438
2014-07,40092
2014-08,39776
2014-09,39388
2014-10,39018
2014-11,38616
2014-12,38146
2015-01,37497
2015-02,37071
2015-03,36348
2015-04,35763
2015-05,35173
2015-06,34630
2015-07,33969
2015-08,33306
2015-09,32653
2015-10,31879
2015-11,31213
2015-12,30469
2016-01,29665
2016-02,29048
2016-03,28285
2016-04,27674
2016-05,27022
2016-06,26405
2016-07,25816
2016-08,25188
2016-09,24591
2016-10,23903
2016-11,23286
2016-12,22562
2017-01,21904
2017-02,21340
2017-03,20644
2017-04,20099
2017-05,19666
2017-06,19308
2017-07,18872
2017-08,18448
2017-09,18012
2017-10,17725
2017-11,17362
2017-12,16947
2018-01,16594
2018-02,16340
2018-03,16067
2018-04,15774
2018-05,15558
2018-06,15480
2018-07,15152
2018-08,14935
2018-09,14715
2018-10,14515
2018-11,14307
2018-12,14028
2019-01,13930
2019-02,13812
2019-03,13682
2019-04,13607
2019-05,13518
2019-06,13452
2019-07,13449
2019-08,13377
2019-09,13288
2019-10,13183
2019-11,13106
2019-12,12977
2020-01,12836
2020-02,12739
2020-03,12652
2020-04,12576
2020-05,12510
2020-06,12364
2020-07,12318
2020-08,12263
