period,category,type,number
2016-Q1,Cars and Station-wagons,Private,19038
2016-Q1,Cars and Station-wagons,Company,1860
2016-Q1,Cars and Station-wagons,Tuition,21
2016-Q1,Cars and Station-wagons,Private Hire (Rental),1696
2016-Q1,Cars and Station-wagons,Off peak/Weekend cars,1437
2016-Q1,Taxis,Taxis,784
2016-Q1,Motorcycles and Scooters,Motorcycles and Scooters,2520
2016-Q1,Goods and Other Vehicles,Goods-cum-passengers,43
2016-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2312
2016-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1579
2016-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),414
2016-Q1,Buses,Public Buses,102
2016-Q1,Buses,School Buses,45
2016-Q1,Buses,Private Buses,55
2016-Q1,Buses,Private Hire Buses,83
2016-Q1,Buses,Excursion Buses,53
2016-Q1,Tax Exempted Vehicles,Cars and Station-wagons,42
2016-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,1
2016-Q1,Tax Exempted Vehicles,Buses,5
2016-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,87
2016-Q2,Cars and Station-wagons,Private,36284
2016-Q2,Cars and Station-wagons,Company,3815
2016-Q2,Cars and Station-wagons,Tuition,31
2016-Q2,Cars and Station-wagons,Private Hire (Rental),3215
2016-Q2,Cars and Station-wagons,Off peak/Weekend cars,2514
2016-Q2,Taxis,Taxis,2100
2016-Q2,Motorcycles and Scooters,Motorcycles and Scooters,4778
2016-Q2,Goods and Other Vehicles,Goods-cum-passengers,76
2016-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),4419
2016-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),3346
2016-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),864
2016-Q2,Buses,Public Buses,178
2016-Q2,Buses,School Buses,82
2016-Q2,Buses,Private Buses,118
2016-Q2,Buses,Private Hire Buses,171
2016-Q2,Buses,Excursion Buses,123
2016-Q2,Tax Exempted Vehicles,Cars and Station-wagons,97
2016-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,21
2016-Q2,Tax Exempted Vehicles,Buses,12
2016-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,172
2016-Q3,Cars and Station-wagons,Private,51495
2016-Q3,Cars and Station-wagons,Company,5864
2016-Q3,Cars and Station-wagons,Tuition,57
2016-Q3,Cars and Station-wagons,Private Hire (Rental),4887
2016-Q3,Cars and Station-wagons,Off peak/Weekend cars,3682
2016-Q3,Taxis,Taxis,3512
2016-Q3,Motorcycles and Scooters,Motorcycles and Scooters,6963
2016-Q3,Goods and Other Vehicles,Goods-cum-passengers,131
2016-Q3,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),6541
2016-Q3,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),4804
2016-Q3,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1341
2016-Q3,Buses,Public Buses,218
2016-Q3,Buses,School Buses,112
2016-Q3,Buses,Private Buses,174
2016-Q3,Buses,Private Hire Buses,229
2016-Q3,Buses,Excursion Buses,171
2016-Q3,Tax Exempted Vehicles,Cars and Station-wagons,139
2016-Q3,Tax Exempted Vehicles,Motorcycles and Scooters,45
2016-Q3,Tax Exempted Vehicles,Buses,17
2016-Q3,Tax Exempted Vehicles,Goods and Other Vehicles,230
2016-Q4,Cars and Station-wagons,Private,67715
2016-Q4,Cars and Station-wagons,Company,8532
2016-Q4,Cars and Station-wagons,Tuition,67
2016-Q4,Cars and Station-wagons,Private Hire (Rental),6980
2016-Q4,Cars and Station-wagons,Off peak/Weekend cars,4986
2016-Q4,Taxis,Taxis,4519
2016-Q4,Motorcycles and Scooters,Motorcycles and Scooters,9151
2016-Q4,Goods and Other Vehicles,Goods-cum-passengers,159
2016-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),8398
2016-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),5755
2016-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1612
2016-Q4,Buses,Public Buses,251
2016-Q4,Buses,School Buses,160
2016-Q4,Buses,Private Buses,222
2016-Q4,Buses,Private Hire Buses,313
2016-Q4,Buses,Excursion Buses,216
2016-Q4,Tax Exempted Vehicles,Cars and Station-wagons,180
2016-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,52
2016-Q4,Tax Exempted Vehicles,Buses,21
2016-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,318
2017-Q1,Cars and Station-wagons,Private,14790
2017-Q1,Cars and Station-wagons,Company,3064
2017-Q1,Cars and Station-wagons,Tuition,12
2017-Q1,Cars and Station-wagons,Private Hire (Rental),1998
2017-Q1,Cars and Station-wagons,Off peak/Weekend cars,1112
2017-Q1,Taxis,Taxis,1254
2017-Q1,Motorcycles and Scooters,Motorcycles and Scooters,2566
2017-Q1,Goods and Other Vehicles,Goods-cum-passengers,130
2017-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),7347
2017-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1381
2017-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),573
2017-Q1,Buses,Public Buses,47
2017-Q1,Buses,School Buses,30
2017-Q1,Buses,Private Buses,138
2017-Q1,Buses,Private Hire Buses,238
2017-Q1,Buses,Excursion Buses,89
2017-Q1,Tax Exempted Vehicles,Cars and Station-wagons,47
2017-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,16
2017-Q1,Tax Exempted Vehicles,Buses,20
2017-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,188
2017-Q2,Cars and Station-wagons,Private,28943
2017-Q2,Cars and Station-wagons,Company,6285
2017-Q2,Cars and Station-wagons,Tuition,28
2017-Q2,Cars and Station-wagons,Private Hire (Rental),3882
2017-Q2,Cars and Station-wagons,Off peak/Weekend cars,2039
2017-Q2,Taxis,Taxis,2668
2017-Q2,Motorcycles and Scooters,Motorcycles and Scooters,5330
2017-Q2,Goods and Other Vehicles,Goods-cum-passengers,180
2017-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),10096
2017-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),2043
2017-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),833
2017-Q2,Buses,Public Buses,90
2017-Q2,Buses,School Buses,64
2017-Q2,Buses,Private Buses,214
2017-Q2,Buses,Private Hire Buses,267
2017-Q2,Buses,Excursion Buses,126
2017-Q2,Tax Exempted Vehicles,Cars and Station-wagons,77
2017-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,19
2017-Q2,Tax Exempted Vehicles,Buses,28
2017-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,360
2017-Q3,Cars and Station-wagons,Private,42010
2017-Q3,Cars and Station-wagons,Company,10020
2017-Q3,Cars and Station-wagons,Tuition,30
2017-Q3,Cars and Station-wagons,Private Hire (Rental),5990
2017-Q3,Cars and Station-wagons,Off peak/Weekend cars,3045
2017-Q3,Taxis,Taxis,4719
2017-Q3,Motorcycles and Scooters,Motorcycles and Scooters,8131
2017-Q3,Goods and Other Vehicles,Goods-cum-passengers,216
2017-Q3,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),12874
2017-Q3,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),2702
2017-Q3,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1064
2017-Q3,Buses,Public Buses,139
2017-Q3,Buses,School Buses,87
2017-Q3,Buses,Private Buses,264
2017-Q3,Buses,Private Hire Buses,296
2017-Q3,Buses,Excursion Buses,164
2017-Q3,Tax Exempted Vehicles,Cars and Station-wagons,140
2017-Q3,Tax Exempted Vehicles,Motorcycles and Scooters,29
2017-Q3,Tax Exempted Vehicles,Buses,36
2017-Q3,Tax Exempted Vehicles,Goods and Other Vehicles,528
2017-Q4,Cars and Station-wagons,Private,55287
2017-Q4,Cars and Station-wagons,Company,12517
2017-Q4,Cars and Station-wagons,Tuition,35
2017-Q4,Cars and Station-wagons,Private Hire (Rental),9041
2017-Q4,Cars and Station-wagons,Off peak/Weekend cars,3833
2017-Q4,Taxis,Taxis,7164
2017-Q4,Motorcycles and Scooters,Motorcycles and Scooters,10765
2017-Q4,Goods and Other Vehicles,Goods-cum-passengers,256
2017-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),15082
2017-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),3164
2017-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1219
2017-Q4,Buses,Public Buses,175
2017-Q4,Buses,School Buses,147
2017-Q4,Buses,Private Buses,334
2017-Q4,Buses,Private Hire Buses,321
2017-Q4,Buses,Excursion Buses,197
2017-Q4,Tax Exempted Vehicles,Cars and Station-wagons,165
2017-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,33
2017-Q4,Tax Exempted Vehicles,Buses,40
2017-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,601
2018-Q1,Cars and Station-wagons,Private cars,11988
2018-Q1,Cars and Station-wagons,Company cars,2257
2018-Q1,Cars and Station-wagons,Tuition cars,7
2018-Q1,Cars and Station-wagons,Private Hire (Self-Drive) cars,654
2018-Q1,Cars and Station-wagons,Private Hire (Chauffeur) cars,2411
2018-Q1,Cars and Station-wagons,Off peak cars,758
2018-Q1,Taxis,Taxis,1394
2018-Q1,Motorcycles and Scooters,Motorcycles and Scooters,3144
2018-Q1,Goods and Other Vehicles,Goods-cum-passengers,37
2018-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2009
2018-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),546
2018-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),166
2018-Q1,Buses,Public Buses,0
2018-Q1,Buses,School Buses,15
2018-Q1,Buses,Private Buses,52
2018-Q1,Buses,Private Hire Buses,44
2018-Q1,Buses,Excursion Buses,38
2018-Q1,Tax Exempted Vehicles,Cars and Station-wagons,30
2018-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,10
2018-Q1,Tax Exempted Vehicles,Buses,12
2018-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,79
2018-Q2,Cars and Station-wagons,Private cars,25070
2018-Q2,Cars and Station-wagons,Company cars,4658
2018-Q2,Cars and Station-wagons,Tuition cars,22
2018-Q2,Cars and Station-wagons,Private Hire (Self-Drive) cars,1372
2018-Q2,Cars and Station-wagons,Private Hire (Chauffeur) cars,5049
