period,category,type,cumulative_number
2016-Q1,Cars and Station-wagons,Private,17188
2016-Q1,Cars and Station-wagons,Company,838
2016-Q1,Cars and Station-wagons,Tuition,18
2016-Q1,Cars and Station-wagons,Private Hire (Rental),1309
2016-Q1,Cars and Station-wagons,Off peak/Weekend cars,450
2016-Q1,Taxis,Taxis,811
2016-Q1,Motorcycles and Scooters,Motorcycles and Scooters,1922
2016-Q1,Goods and Other Vehicles,Goods-cum-passengers,29
2016-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2753
2016-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1106
2016-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),253
2016-Q1,Buses,Public Buses,212
2016-Q1,Buses,School Buses,39
2016-Q1,Buses,Private Buses,62
2016-Q1,Buses,Private Hire Buses,15
2016-Q1,Buses,Excursion Buses,197
2016-Q1,Tax Exempted Vehicles,Cars and Station-wagons,109
2016-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,13
2016-Q1,Tax Exempted Vehicles,Buses,20
2016-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,318
2016-Q2,Cars and Station-wagons,Private,35685
2016-Q2,Cars and Station-wagons,Company,1709
2016-Q2,Cars and Station-wagons,Tuition,37
2016-Q2,Cars and Station-wagons,Private Hire (Rental),4830
2016-Q2,Cars and Station-wagons,Off peak/Weekend cars,1017
2016-Q2,Taxis,Taxis,2034
2016-Q2,Motorcycles and Scooters,Motorcycles and Scooters,4078
2016-Q2,Goods and Other Vehicles,Goods-cum-passengers,67
2016-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),5583
2016-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),2438
2016-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),576
2016-Q2,Buses,Public Buses,396
2016-Q2,Buses,School Buses,67
2016-Q2,Buses,Private Buses,111
2016-Q2,Buses,Private Hire Buses,27
2016-Q2,Buses,Excursion Buses,397
2016-Q2,Tax Exempted Vehicles,Cars and Station-wagons,145
2016-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,13
2016-Q2,Tax Exempted Vehicles,Buses,27
2016-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,650
2016-Q3,Cars and Station-wagons,Private,51165
2016-Q3,Cars and Station-wagons,Company,2530
2016-Q3,Cars and Station-wagons,Tuition,51
2016-Q3,Cars and Station-wagons,Private Hire (Rental),10039
2016-Q3,Cars and Station-wagons,Off peak/Weekend cars,1430
2016-Q3,Taxis,Taxis,2961
2016-Q3,Motorcycles and Scooters,Motorcycles and Scooters,6409
2016-Q3,Goods and Other Vehicles,Goods-cum-passengers,115
2016-Q3,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),8032
2016-Q3,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),3608
2016-Q3,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),942
2016-Q3,Buses,Public Buses,565
2016-Q3,Buses,School Buses,82
2016-Q3,Buses,Private Buses,166
2016-Q3,Buses,Private Hire Buses,39
2016-Q3,Buses,Excursion Buses,564
2016-Q3,Tax Exempted Vehicles,Cars and Station-wagons,197
2016-Q3,Tax Exempted Vehicles,Motorcycles and Scooters,30
2016-Q3,Tax Exempted Vehicles,Buses,32
2016-Q3,Tax Exempted Vehicles,Goods and Other Vehicles,1128
2016-Q4,Cars and Station-wagons,Private,67282
2016-Q4,Cars and Station-wagons,Company,3348
2016-Q4,Cars and Station-wagons,Tuition,58
2016-Q4,Cars and Station-wagons,Private Hire (Rental),14634
2016-Q4,Cars and Station-wagons,Off peak/Weekend cars,1904
2016-Q4,Taxis,Taxis,3794
2016-Q4,Motorcycles and Scooters,Motorcycles and Scooters,8311
2016-Q4,Goods and Other Vehicles,Goods-cum-passengers,156
2016-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),10115
2016-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),4423
2016-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),1224
2016-Q4,Buses,Public Buses,601
2016-Q4,Buses,School Buses,117
2016-Q4,Buses,Private Buses,210
2016-Q4,Buses,Private Hire Buses,48
2016-Q4,Buses,Excursion Buses,784
2016-Q4,Tax Exempted Vehicles,Cars and Station-wagons,278
2016-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,44
2016-Q4,Tax Exempted Vehicles,Buses,39
2016-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,1421
2017-Q1,Cars and Station-wagons,Private,15921
2017-Q1,Cars and Station-wagons,Company,788
2017-Q1,Cars and Station-wagons,Tuition,19
2017-Q1,Cars and Station-wagons,Private Hire (Rental),5100
2017-Q1,Cars and Station-wagons,Off peak/Weekend cars,403
2017-Q1,Taxis,Taxis,454
2017-Q1,Motorcycles and Scooters,Motorcycles and Scooters,2215
2017-Q1,Goods and Other Vehicles,Goods-cum-passengers,36
2017-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2615
2017-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),702
2017-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),249
2017-Q1,Buses,Public Buses,53
2017-Q1,Buses,School Buses,20
2017-Q1,Buses,Private Buses,43
2017-Q1,Buses,Private Hire Buses,5
2017-Q1,Buses,Excursion Buses,200
2017-Q1,Tax Exempted Vehicles,Cars and Station-wagons,84
2017-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,19
2017-Q1,Tax Exempted Vehicles,Buses,7
2017-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,259
2017-Q2,Cars and Station-wagons,Private,33538
2017-Q2,Cars and Station-wagons,Company,1591
2017-Q2,Cars and Station-wagons,Tuition,34
2017-Q2,Cars and Station-wagons,Private Hire (Rental),9540
2017-Q2,Cars and Station-wagons,Off peak/Weekend cars,949
2017-Q2,Taxis,Taxis,833
2017-Q2,Motorcycles and Scooters,Motorcycles and Scooters,4394
2017-Q2,Goods and Other Vehicles,Goods-cum-passengers,100
2017-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),6037
2017-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1348
2017-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),548
2017-Q2,Buses,Public Buses,111
2017-Q2,Buses,School Buses,43
2017-Q2,Buses,Private Buses,79
2017-Q2,Buses,Private Hire Buses,17
2017-Q2,Buses,Excursion Buses,356
2017-Q2,Tax Exempted Vehicles,Cars and Station-wagons,131
2017-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,20
2017-Q2,Tax Exempted Vehicles,Buses,10
2017-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,560
2017-Q3,Cars and Station-wagons,Private,49068
2017-Q3,Cars and Station-wagons,Company,2286
2017-Q3,Cars and Station-wagons,Tuition,44
2017-Q3,Cars and Station-wagons,Private Hire (Rental),13932
2017-Q3,Cars and Station-wagons,Off peak/Weekend cars,1457
