month,make,number
2016-01,ALFA ROMEO,14
2016-01,ASTON MARTIN,5
2016-01,AUDI,196
2016-01,AUSTIN,0
2016-01,B.M.W.,548
2016-01,BENTLEY,8
2016-01,BERTONE,0
2016-01,CHANA,0
2016-01,CHERY,17
2016-01,CHEVROLET,148
2016-01,CHRYSLER,2
2016-01,CITROEN,43
2016-01,DAIHATSU,30
2016-01,DODGE,0
2016-01,DONGFENG,0
2016-01,FERRARI,13
2016-01,FIAT,41
2016-01,FORD,50
2016-01,GEELY,12
2016-01,HAFEI,2
2016-01,HONDA,1487
2016-01,HUMMER,0
2016-01,HYUNDAI,541
2016-01,INFINITI,6
2016-01,JAGUAR,39
2016-01,JEEP,6
2016-01,KIA,266
2016-01,LAMBORGHINI,5
2016-01,LAND ROVER,10
2016-01,LOTUS,4
2016-01,M.G.,0
2016-01,MASERATI,6
2016-01,MAZDA,364
2016-01,MCLAREN,2
2016-01,MERCEDES BENZ,496
2016-01,MINI,53
2016-01,MITSUBISHI,519
2016-01,MORRIS,1
2016-01,NISSAN,810
2016-01,OPEL,25
2016-01,PERODUA,24
2016-01,PEUGEOT,67
2016-01,PORSCHE,57
2016-01,PROTON,56
2016-01,RENAULT,44
2016-01,ROLLS ROYCE,2
2016-01,ROVER,1
2016-01,SAAB,16
2016-01,SKODA,5
2016-01,SSANGYONG,8
2016-01,SUBARU,243
2016-01,SUZUKI,257
2016-01,TOYOTA,2341
2016-01,TRIUMPH,3
2016-01,VOLKSWAGEN,264
2016-01,VOLVO,124
2016-01,ZOTYE,0
2016-02,ALFA ROMEO,11
2016-02,ASTON MARTIN,2
2016-02,AUDI,175
2016-02,AUSTIN,2
2016-02,B.M.W.,412
2016-02,BENTLEY,11
2016-02,BERTONE,0
2016-02,CHANA,0
2016-02,CHERY,10
2016-02,CHEVROLET,148
2016-02,CHRYSLER,8
2016-02,CITROEN,27
2016-02,DAIHATSU,23
2016-02,DODGE,3
2016-02,DONGFENG,1
2016-02,FERRARI,7
2016-02,FIAT,26
2016-02,FORD,22
2016-02,GEELY,3
2016-02,HAFEI,7
2016-02,HONDA,1116
2016-02,HUMMER,0
2016-02,HYUNDAI,421
2016-02,INFINITI,1
2016-02,JAGUAR,24
2016-02,JEEP,1
2016-02,KIA,218
2016-02,LAMBORGHINI,3
2016-02,LAND ROVER,19
2016-02,LOTUS,3
2016-02,M.G.,0
2016-02,MASERATI,5
2016-02,MAZDA,311
2016-02,MCLAREN,2
2016-02,MERCEDES BENZ,391
2016-02,MINI,41
2016-02,MITSUBISHI,456
2016-02,MORRIS,0
2016-02,NISSAN,588
2016-02,OPEL,16
2016-02,PERODUA,20
2016-02,PEUGEOT,48
2016-02,PORSCHE,44
2016-02,PROTON,42
2016-02,RENAULT,24
2016-02,ROLLS ROYCE,2
2016-02,ROVER,0
2016-02,SAAB,16
2016-02,SKODA,7
2016-02,SSANGYONG,4
2016-02,SUBARU,194
2016-02,SUZUKI,199
2016-02,TOYOTA,1793
2016-02,TRIUMPH,0
2016-02,VOLKSWAGEN,216
2016-02,VOLVO,94
2016-02,ZOTYE,1
2016-03,ALFA ROMEO,10
2016-03,ASTON MARTIN,3
2016-03,AUDI,183
2016-03,AUSTIN,1
2016-03,B.M.W.,595
2016-03,BENTLEY,9
2016-03,BERTONE,1
2016-03,CHANA,2
2016-03,CHERY,24
2016-03,CHEVROLET,156
2016-03,CHRYSLER,17
2016-03,CITROEN,32
2016-03,DAIHATSU,29
2016-03,DODGE,0
2016-03,DONGFENG,0
2016-03,FERRARI,4
2016-03,FIAT,42
2016-03,FORD,36
2016-03,GEELY,9
2016-03,HAFEI,1
2016-03,HONDA,1709
2016-03,HUMMER,1
2016-03,HYUNDAI,652
2016-03,INFINITI,1
2016-03,JAGUAR,43
2016-03,JEEP,1
