month,make,fuel_type,vehicle_type,number
2016-01,AMMANN,Diesel,Goods cum Passenger Vehicles,0
2016-01,ANKAI,Diesel,Goods cum Passenger Vehicles,0
2016-01,BEIBEN,Diesel,Goods cum Passenger Vehicles,0
2016-01,CATERPILLAR,Diesel,Goods cum Passenger Vehicles,0
2016-01,CIMC AIR MARREL SAS,Diesel,Goods cum Passenger Vehicles,0
2016-01,CITROEN,Diesel,Goods cum Passenger Vehicles,0
2016-01,COMAC,Diesel,Goods cum Passenger Vehicles,0
2016-01,D.A.F.,Diesel,Goods cum Passenger Vehicles,0
2016-01,FIAT,Diesel,Goods cum Passenger Vehicles,0
2016-01,FOTON,Diesel,Goods cum Passenger Vehicles,0
2016-01,GOLDEN DRAGON,Diesel,Goods cum Passenger Vehicles,0
2016-01,GUANGTAI,Diesel,Goods cum Passenger Vehicles,0
2016-01,HIGER,Diesel,Goods cum Passenger Vehicles,0
2016-01,HINO,Diesel,Goods cum Passenger Vehicles,0
2016-01,HYUNDAI,Diesel,Goods cum Passenger Vehicles,0
2016-01,ISUZU,Diesel,Goods cum Passenger Vehicles,0
2016-01,IVECO,Diesel,Goods cum Passenger Vehicles,0
2016-01,J.C.B.,Diesel,Goods cum Passenger Vehicles,0
2016-01,JAC,Diesel,Goods cum Passenger Vehicles,0
2016-01,JOYLONG,Diesel,Goods cum Passenger Vehicles,0
2016-01,KALMAR,Diesel,Goods cum Passenger Vehicles,0
2016-01,KARCHER,Diesel,Goods cum Passenger Vehicles,0
2016-01,KIA,Diesel,Goods cum Passenger Vehicles,0
2016-01,KING LONG,Diesel,Goods cum Passenger Vehicles,0
2016-01,KOMATSU,Diesel,Goods cum Passenger Vehicles,0
2016-01,LAND ROVER,Diesel,Goods cum Passenger Vehicles,0
2016-01,LEKTRO,Others,Goods cum Passenger Vehicles,0
2016-01,LINDE,Diesel,Goods cum Passenger Vehicles,0
2016-01,LINDE,Others,Goods cum Passenger Vehicles,0
2016-01,MAN,Diesel,Goods cum Passenger Vehicles,0
2016-01,MANITOU,Diesel,Goods cum Passenger Vehicles,0
2016-01,MAXIMAL,Diesel,Goods cum Passenger Vehicles,0
2016-01,MAXUS,Diesel,Goods cum Passenger Vehicles,0
2016-01,MERCEDES BENZ,Diesel,Goods cum Passenger Vehicles,0
2016-01,MITSUBISHI,Diesel,Goods cum Passenger Vehicles,1
2016-01,NISSAN,Petrol,Goods cum Passenger Vehicles,0
2016-01,NISSAN,Diesel,Goods cum Passenger Vehicles,6
2016-01,OPEL,Diesel,Goods cum Passenger Vehicles,0
2016-01,PEUGEOT,Diesel,Goods cum Passenger Vehicles,0
2016-01,RENAULT,Petrol,Goods cum Passenger Vehicles,0
2016-01,RENAULT,Diesel,Goods cum Passenger Vehicles,0
