month,category,type,number
2016-01,Cars,Petrol,586980
2016-01,Cars,Diesel,6297
2016-01,Cars,Petrol-Electric,6476
2016-01,Cars,Petrol-Electric (Plug-In),108
2016-01,Cars,Petrol-CNG,1917
2016-01,Cars,CNG,0
2016-01,Cars,Electric,1
2016-01,Cars,Diesel-Electric,23
2016-01,Taxis,Petrol,443
2016-01,Taxis,Diesel,24248
2016-01,Taxis,Petrol-Electric,1920
2016-01,Taxis,Petrol-CNG,1647
2016-01,Taxis,CNG,0
2016-01,Motor-cycles,Petrol,143235
2016-01,Motor-cycles,Electric,2
2016-01,Goods & Other Vehicles,Petrol,7259
2016-01,Goods & Other Vehicles,Diesel,136806
2016-01,Goods & Other Vehicles,Petrol-Electric,1
2016-01,Goods & Other Vehicles,Petrol-CNG,8
2016-01,Goods & Other Vehicles,CNG,4
2016-01,Goods & Other Vehicles,Electric,1
2016-01,Goods & Other Vehicles,Diesel-Electric,6
2016-01,Buses,Petrol,91
2016-01,Buses,Diesel,17703
2016-01,Buses,Petrol-CNG,2
2016-01,Buses,CNG,12
2016-01,Buses,Diesel-Electric,4
2016-02,Cars,Petrol,585663
2016-02,Cars,Diesel,6564
2016-02,Cars,Petrol-Electric,6552
2016-02,Cars,Petrol-Electric (Plug-In),112
2016-02,Cars,Petrol-CNG,1901
2016-02,Cars,CNG,0
2016-02,Cars,Electric,2
2016-02,Cars,Diesel-Electric,23
2016-02,Taxis,Petrol,439
2016-02,Taxis,Diesel,24207
2016-02,Taxis,Petrol-Electric,1946
2016-02,Taxis,Petrol-CNG,1620
2016-02,Taxis,CNG,0
2016-02,Motor-cycles,Petrol,143026
2016-02,Motor-cycles,Electric,2
2016-02,Goods & Other Vehicles,Petrol,7254
2016-02,Goods & Other Vehicles,Diesel,136780
2016-02,Goods & Other Vehicles,Petrol-Electric,1
2016-02,Goods & Other Vehicles,Petrol-CNG,8
2016-02,Goods & Other Vehicles,CNG,4
2016-02,Goods & Other Vehicles,Electric,1
