year,make,number
2005,ACE,14
2005,AIR MARREL,47
2005,ASAKA,14
2005,AVELING - BARFORD,20
2005,BALKANCAR,5
2005,BEDFORD,12
2005,BENFORD,5
2005,BITELLI,10
2005,BLISS FOX,6
2005,BOBCAT,8
2005,BOMAG,17
2005,BUCHER,58
2005,CASE,8
2005,CATERPILLAR,160
2005,CHAMBERLAIN,6
2005,CHARLATTE,28
2005,CITROEN,2053
2005,CROWN,11
2005,CUSHMAN,19
2005,DAEWOO,125
2005,DAIHATSU,5003
2005,DATSUN,23
2005,DEMAG,24
2005,DENNIS,58
2005,DONGFENG,8
2005,DYNAPAC,18
2005,ERMA,36
2005,F.M.C.,118
2005,FIAT,384
2005,FORD,544
2005,FOX,5
2005,GROVE,12
2005,GUANGTAI,9
2005,HALLA,9
2005,HAMM,16
2005,HARLAN,7
2005,HC,11
2005,HINO,1026
2005,HONDA,37
2005,HYSTER,311
2005,HYUNDAI,4248
2005,INGERSOLL RAND,46
2005,ISUZU,10357
2005,IVECO,86
2005,J.C.B.,93
2005,JOHN DEERE,18
2005,JOHNSTON,20
2005,KALMAR,28
2005,KARCHER,40
2005,KIA,3411
2005,KOMATSU,1542
2005,LANCER BOSS,5
2005,LAND ROVER,175
2005,LANTIS,6
2005,LEYLAND,5
2005,LIEBHERR,21
2005,LINDE,49
2005,MADVAC,20
2005,MAFI,5
2005,MANITOU,5
2005,MARINI,6
2005,MASSEY - FERGUSON,7
2005,MAZDA,506
2005,MELROE,37
2005,MERCEDES BENZ,2763
2005,MITSUBISHI,25258
2005,MOTORUC,11
2005,MOXY,10
2005,NEW HOLLAND,5
2005,NICHIYU,8
2005,NILFISK ADVANCE,7
2005,NISSAN,32019
2005,NORDCO,19
2005,OPEL,1718
2005,PEUGEOT,889
2005,PIAGGIO,87
2005,PROTON,51
2005,RCM,13
2005,RENAULT,5013
2005,REYNOLDS BOUGHTON,5
2005,SAKAI,54
2005,SAMSUNG,32
2005,SCANIA,763
2005,SCHMIDT,5
2005,SCHOPF,24
2005,SEVERN LAMB,5
2005,SIMON,7
2005,SSANGYONG,243
2005,STILL,14
2005,SUBARU,6
2005,SUMITOMO YALE,7
2005,SUZUKI,2592
2005,SVMC,9
2005,T.C.M.,280
2005,TAYLOR DUNN,13
2005,TENNANT,23
2005,TLD,28
2005,TORO,44
2005,TOYOTA,34462
2005,TRANSAC,7
2005,TURBO,6
2005,UNITED TRACTOR,43
2005,VIBROMAX,11
2005,VOGELE,8
2005,VOLKSWAGEN,941
2005,VOLVO,314
2005,WIRTGEN,31
2005,WOLLARD,21
2005,YALE,20
2005,YAM,6
2005,OTHERS,182
2006,ACE,14
2006,AIR MARREL,47
2006,ASAKA,14
2006,AVELING - BARFORD,20
2006,BALKANCAR,5
2006,BEDFORD,7
2006,BITELLI,12
2006,BLISS FOX,6
2006,BOBCAT,22
2006,BOMAG,18
2006,BUCHER,57
2006,CASE,8
2006,CATERPILLAR,167
2006,CHAMBERLAIN,6
2006,CHANGJIANG,17
2006,CHARLATTE,28
2006,CITROEN,2065
2006,CROWN,11
2006,CUSHMAN,19
2006,DAEWOO,125
2006,DAIHATSU,4620
2006,DATSUN,23
2006,DEMAG,26
2006,DENNIS,56
2006,DONGFENG,8
2006,DYNAPAC,18
