year,age_year,number
2005,0-<1,109165
2005,1-<2,96518
2005,2-<3,78754
2005,3-<4,46496
2005,4-<5,34396
2005,5-<6,10562
2005,6-<7,6644
2005,7-<8,8462
2005,8-<9,2284
2005,9-<10,3250
2005,10-<11,644
2005,11-<12,787
2005,12-<13,4003
2005,13-<14,12431
2005,14-<15,11822
2005,15-<16,1823
2005,16-<17,2859
2005,17-<18,1113
2005,18-<19,879
2005,19-<20,844
2005,20->,4458
2006,0-<1,116741
2006,1-<2,109075
2006,2-<3,93240
2006,3-<4,63124
2006,4-<5,26056
2006,5-<6,15655
2006,6-<7,5823
2006,7-<8,3398
2006,8-<9,4456
2006,9-<10,1174
2006,10-<11,1131
2006,11-<12,634
2006,12-<13,746
2006,13-<14,3617
2006,14-<15,10967
2006,15-<16,8972
2006,16-<17,1295
2006,17-<18,1914
2006,18-<19,697
2006,19-<20,554
2006,20->,3039
2007,0-<1,106502
2007,1-<2,116656
2007,2-<3,108606
2007,3-<4,81376
2007,4-<5,42069
2007,5-<6,12678
2007,6-<7,10607
2007,7-<8,3638
2007,8-<9,2024
2007,9-<10,2288
2007,10-<11,502
2007,11-<12,1125
2007,12-<13,621
2007,13-<14,698
2007,14-<15,3223
2007,15-<16,9311
2007,16-<17,6982
2007,17-<18,980
2007,18-<19,1380
2007,19-<20,445
2007,20->,2974
2008,0-<1,96945
2008,1-<2,106440
2008,2-<3,116471
2008,3-<4,102520
2008,4-<5,60442
2008,5-<6,23981
2008,6-<7,8570
2008,7-<8,7668
2008,8-<9,2474
2008,9-<10,1131
2008,10-<11,594
2008,11-<12,498
2008,12-<13,1113
2008,13-<14,604
2008,14-<15,649
2008,15-<16,2698
2008,16-<17,7810
2008,17-<18,5353
2008,18-<19,746
2008,19-<20,851
2008,20->,2897
2009,0-<1,68464
2009,1-<2,96927
2009,2-<3,106281
2009,3-<4,116043
2009,4-<5,93610
2009,5-<6,44002
2009,6-<7,17511
2009,7-<8,5936
2009,8-<9,5465
2009,9-<10,1574
2009,10-<11,505
2009,11-<12,586
2009,12-<13,488
2009,13-<14,1096
2009,14-<15,577
2009,15-<16,550
2009,16-<17,2377
2009,17-<18,6618
2009,18-<19,4297
2009,19-<20,661
2009,20->,3420
2010,0-<1,41407
2010,1-<2,68503
2010,2-<3,96887
2010,3-<4,105917
2010,4-<5,115583
2010,5-<6,88437
2010,6-<7,37564
2010,7-<8,14014
2010,8-<9,4713
2010,9-<10,3790
2010,10-<11,558
2010,11-<12,501
2010,12-<13,581
2010,13-<14,475
2010,14-<15,1082
2010,15-<16,526
2010,16-<17,533
2010,17-<18,2018
2010,18-<19,5121
2010,19-<20,3217
2010,20->,3758
2011,0-<1,27748
2011,1-<2,41426
2011,2-<3,68512
