year,age_year,number
2005,0-<1,12122
2005,1-<2,11976
2005,2-<3,14712
2005,3-<4,16599
2005,4-<5,13127
2005,5-<6,10358
2005,6-<7,8500
2005,7-<8,7326
2005,8-<9,4794
2005,9-<10,3661
2005,10-<11,2218
2005,11-<12,4241
2005,12-<13,3271
2005,13-<14,1903
2005,14-<15,1661
2005,15-<16,1483
2005,16-<17,2214
2005,17-<18,1299
2005,18-<19,945
2005,19-<20,1154
2005,20->,15024
2006,0-<1,11456
2006,1-<2,12047
2006,2-<3,11848
2006,3-<4,14511
2006,4-<5,16349
2006,5-<6,12805
2006,6-<7,9934
2006,7-<8,8052
2006,8-<9,6862
2006,9-<10,4366
2006,10-<11,2953
2006,11-<12,1975
2006,12-<13,3696
2006,13-<14,2849
2006,14-<15,1587
2006,15-<16,1318
2006,16-<17,1344
2006,17-<18,1985
2006,18-<19,1135
2006,19-<20,825
2006,20->,13984
2007,0-<1,10343
2007,1-<2,11338
2007,2-<3,11897
2007,3-<4,11704
2007,4-<5,14297
2007,5-<6,16098
2007,6-<7,12396
2007,7-<8,9397
2007,8-<9,7418
2007,9-<10,6068
2007,10-<11,3405
2007,11-<12,2725
2007,12-<13,1732
2007,13-<14,3142
2007,14-<15,2475
2007,15-<16,1249
2007,16-<17,1209
2007,17-<18,1224
2007,18-<19,1760
2007,19-<20,992
2007,20->,12613
2008,0-<1,10336
2008,1-<2,10212
2008,2-<3,11162
2008,3-<4,11740
2008,4-<5,11508
2008,5-<6,14094
2008,6-<7,15795
2008,7-<8,11928
2008,8-<9,8761
2008,9-<10,6491
2008,10-<11,4381
2008,11-<12,3203
2008,12-<13,2513
2008,13-<14,1561
2008,14-<15,2737
2008,15-<16,2156
2008,16-<17,1121
2008,17-<18,1094
2008,18-<19,1039
2008,19-<20,1257
2008,20->,12199
2009,0-<1,8827
2009,1-<2,10248
2009,2-<3,10076
2009,3-<4,10982
2009,4-<5,11540
2009,5-<6,11323
2009,6-<7,13800
2009,7-<8,15437
2009,8-<9,11277
2009,9-<10,7901
2009,10-<11,4889
2009,11-<12,4118
2009,12-<13,2967
2009,13-<14,2329
2009,14-<15,1365
2009,15-<16,2313
2009,16-<17,1919
2009,17-<18,1021
2009,18-<19,985
2009,19-<20,842
2009,20->,12178
2010,0-<1,8228
2010,1-<2,8744
2010,2-<3,10139
2010,3-<4,9973
2010,4-<5,10846
2010,5-<6,11317
2010,6-<7,11092
2010,7-<8,13529
2010,8-<9,14983
2010,9-<10,10391
2010,10-<11,5958
2010,11-<12,4648
2010,12-<13,3875
2010,13-<14,2779
2010,14-<15,2140
2010,15-<16,1174
2010,16-<17,2068
2010,17-<18,1706
2010,18-<19,920
2010,19-<20,851
2010,20->,11921
2011,0-<1,7991
2011,1-<2,8175
2011,2-<3,8677
2011,3-<4,10037
2011,4-<5,9880
2011,5-<6,10714
2011,6-<7,11118
2011,7-<8,10837
2011,8-<9,13134
2011,9-<10,13623
2011,10-<11,6836
2011,11-<12,5701
2011,12-<13,4404
2011,13-<14,3638
2011,14-<15,2577
2011,15-<16,1913
2011,16-<17,1084
2011,17-<18,1831
2011,18-<19,1499
2011,19-<20,768
2011,20->,11243
2012,0-<1,9852
2012,1-<2,7962
2012,2-<3,8067
2012,3-<4,8575
2012,4-<5,9945
2012,5-<6,9767
2012,6-<7,10547
2012,7-<8,10839
2012,8-<9,10421
