year,age_year,number
2005,0-<1,14138
2005,1-<2,14898
2005,2-<3,13689
2005,3-<4,9394
2005,4-<5,12379
2005,5-<6,18348
2005,6-<7,7718
2005,7-<8,8133
2005,8-<9,4245
2005,9-<10,5160
2005,10-<11,4944
2005,11-<12,4035
2005,12-<13,4514
2005,13-<14,2595
2005,14-<15,2437
2005,15-<16,690
2005,16-<17,454
2005,17-<18,194
2005,18-<19,52
2005,19-<20,42
2005,20->,134
2006,0-<1,13358
2006,1-<2,14133
2006,2-<3,14908
2006,3-<4,13655
2006,4-<5,8451
2006,5-<6,11285
2006,6-<7,17076
2006,7-<8,6918
2006,8-<9,7732
2006,9-<10,3830
2006,10-<11,4625
2006,11-<12,4806
2006,12-<13,3800
2006,13-<14,3969
2006,14-<15,1885
2006,15-<16,1219
2006,16-<17,556
2006,17-<18,343
2006,18-<19,134
2006,19-<20,30
2006,20->,128
2007,0-<1,10652
2007,1-<2,13378
2007,2-<3,14204
2007,3-<4,14926
2007,4-<5,13583
2007,5-<6,7833
2007,6-<7,10740
2007,7-<8,16386
2007,8-<9,6677
2007,9-<10,7647
2007,10-<11,3724
2007,11-<12,4516
2007,12-<13,4632
2007,13-<14,3499
2007,14-<15,3341
2007,15-<16,907
2007,16-<17,1021
2007,17-<18,463
2007,18-<19,264
2007,19-<20,94
2007,20->,117
2008,0-<1,8630
2008,1-<2,10640
2008,2-<3,13364
2008,3-<4,14192
2008,4-<5,14910
2008,5-<6,13510
2008,6-<7,7393
2008,7-<8,10315
2008,8-<9,15908
2008,9-<10,6446
2008,10-<11,7226
2008,11-<12,3711
2008,12-<13,4428
2008,13-<14,4494
2008,14-<15,3155
2008,15-<16,2303
2008,16-<17,813
2008,17-<18,872
2008,18-<19,390
2008,19-<20,153
2008,20->,113
2009,0-<1,5552
2009,1-<2,8624
2009,2-<3,10631
2009,3-<4,13352
2009,4-<5,14172
2009,5-<6,14865
2009,6-<7,13337
2009,7-<8,7057
2009,8-<9,9947
2009,9-<10,15447
2009,10-<11,6136
2009,11-<12,7140
2009,12-<13,3678
2009,13-<14,4263
2009,14-<15,4187
2009,15-<16,2548
2009,16-<17,2121
2009,17-<18,686
2009,18-<19,658
2009,19-<20,290
2009,20->,111
2010,0-<1,3905
2010,1-<2,5547
2010,2-<3,8623
2010,3-<4,10633
2010,4-<5,13331
2010,5-<6,14154
2010,6-<7,14838
2010,7-<8,13238
2010,8-<9,6879
2010,9-<10,9380
2010,10-<11,12946
2010,11-<12,6116
2010,12-<13,7105
2010,13-<14,3662
2010,14-<15,4068
2010,15-<16,3678
2010,16-<17,2430
2010,17-<18,1973
2010,18-<19,563
2010,19-<20,437
2010,20->,107
2011,0-<1,5175
2011,1-<2,3903
2011,2-<3,5545
2011,3-<4,8616
2011,4-<5,10630
2011,5-<6,13317
2011,6-<7,14142
2011,7-<8,14809
2011,8-<9,13135
2011,9-<10,6647
2011,10-<11,7895
2011,11-<12,12857
2011,12-<13,6098
2011,13-<14,7072
2011,14-<15,3610
2011,15-<16,3565
2011,16-<17,3604
2011,17-<18,2313
2011,18-<19,1787
2011,19-<20,319
2011,20->,119
2012,0-<1,3917
2012,1-<2,5176
2012,2-<3,3905
2012,3-<4,5543
2012,4-<5,8611
2012,5-<6,10620
2012,6-<7,13303
2012,7-<8,14121
2012,8-<9,14707
2012,9-<10,12555
2012,10-<11,4649
2012,11-<12,7834
2012,12-<13,12783
2012,13-<14,6059
2012,14-<15,7011
2012,15-<16,3475
2012,16-<17,3510
2012,17-<18,3504
2012,18-<19,2172
2012,19-<20,1468
2012,20->,123
2013,0-<1,5617
2013,1-<2,3918
2013,2-<3,5176
2013,3-<4,3902
2013,4-<5,5540
2013,5-<6,8605
2013,6-<7,10612
2013,7-<8,13287
2013,8-<9,14079
2013,9-<10,14370
2013,10-<11,9274
2013,11-<12,4612
2013,12-<13,7816
2013,13-<14,12576
2013,14-<15,5950
2013,15-<16,6790
2013,16-<17,3422
2013,17-<18,3419
2013,18-<19,3325
2013,19-<20,1795
2013,20->,117
2014,0-<1,11184
2014,1-<2,5615
2014,2-<3,3916
2014,3-<4,5177
2014,4-<5,3901
2014,5-<6,5541
2014,6-<7,8598
2014,7-<8,10606
2014,8-<9,13250
2014,9-<10,13863
2014,10-<11,12060
2014,11-<12,9063
2014,12-<13,4535
2014,13-<14,7778
2014,14-<15,10540
2014,15-<16,4895
2014,16-<17,5989
2014,17-<18,2933
2014,18-<19,2771
2014,19-<20,2165
2014,20->,127
2015,0-<1,13714
2015,1-<2,11181
2015,2-<3,5596
2015,3-<4,3915
2015,4-<5,5176
2015,5-<6,3897
2015,6-<7,5536
2015,7-<8,8586
2015,8-<9,10583
2015,9-<10,11786
2015,10-<11,10143
2015,11-<12,11553
2015,12-<13,8469
2015,13-<14,4139
2015,14-<15,6997
2015,15-<16,8586
2015,16-<17,4233
2015,17-<18,5378
2015,18-<19,2524
2015,19-<20,1845
2015,20->,135
2016,0-<1,15908
2016,1-<2,13712
2016,2-<3,11178
2016,3-<4,5570
2016,4-<5,3900
2016,5-<6,5166
2016,6-<7,3893
2016,7-<8,5527
2016,8-<9,8561
2016,9-<10,10315
2016,10-<11,7076
2016,11-<12,9510
2016,12-<13,10511
2016,13-<14,7491
2016,14-<15,3506
2016,15-<16,5591
2016,16-<17,6945
2016,17-<18,3320
2016,18-<19,4292
2016,19-<20,1841
2016,20->,153
2017,0-<1,18603
2017,1-<2,15904
2017,2-<3,13704
2017,3-<4,11166
2017,4-<5,5504
2017,5-<6,3868
2017,6-<7,5148
2017,7-<8,3877
2017,8-<9,5510
2017,9-<10,8237
2017,10-<11,7488
2017,11-<12,6591
2017,12-<13,8290
2017,13-<14,8830
2017,14-<15,5949
2017,15-<16,2586
2017,16-<17,4117
2017,17-<18,4469
2017,18-<19,1804
2017,19-<20,1058
2017,20->,154
2018,0-<1,11724
2018,1-<2,18511
2018,2-<3,15890
2018,3-<4,13625
2018,4-<5,11104
2018,5-<6,5319
2018,6-<7,3774
2018,7-<8,5120
2018,8-<9,3832
2018,9-<10,5335
2018,10-<11,6583
2018,11-<12,6886
2018,12-<13,5710
2018,13-<14,6628
2018,14-<15,6815
2018,15-<16,3971
2018,16-<17,2141
2018,17-<18,3261
2018,18-<19,3693
2018,19-<20,1331
2018,20->,155
