year,make,number
2005,ALFA ROMEO,914
2005,ASTON MARTIN,23
2005,AUDI,2025
2005,AUSTIN,137
2005,B.M.W.,15351
2005,BENTLEY,68
2005,CADILLAC,7
2005,CHEVROLET,3699
2005,CHRYSLER,422
2005,CITROEN,696
2005,DAEWOO,817
2005,DAIHATSU,2065
2005,DAIMLER,30
2005,DATSUN,129
2005,FERRARI,166
2005,FIAT,382
2005,FORD,7243
2005,HOLDEN,6
2005,HONDA,47816
2005,HYUNDAI,41650
2005,ISUZU,20
2005,JAGUAR,1952
2005,JEEP,41
2005,KIA,12079
2005,LAMBORGHINI,53
2005,LANCIA,6
2005,LAND ROVER,280
2005,LOTUS,64
2005,M.G.,108
2005,MASERATI,78
2005,MAZDA,19998
2005,MERCEDES BENZ,27230
2005,MG-F,9
2005,MINI,547
2005,MINI MAYFAIR,5
2005,MITSUBISHI,29416
2005,MORGAN,6
2005,MORRIS,93
2005,NISSAN,65368
2005,OPEL,2319
2005,OTHERS 2,50
2005,PANTHER,7
2005,PERODUA,1060
2005,PEUGEOT,2033
2005,PORSCHE,763
2005,PROTON,4612
2005,RENAULT,3430
2005,ROLLS ROYCE,104
2005,ROVER,416
2005,SAAB,1597
2005,SEAT,233
2005,SKODA,425
2005,SSANGYONG,93
2005,SUBARU,6351
2005,SUNBEAM,8
2005,SUZUKI,7200
2005,TOYOTA,120560
2005,TRIUMPH,34
2005,VOLKSWAGEN,2923
2005,VOLVO,5366
2006,ALFA ROMEO,866
2006,ASTON MARTIN,34
2006,AUDI,2386
2006,AUSTIN,155
2006,B.M.W.,16527
2006,BENTLEY,103
2006,CADILLAC,5
2006,CHERY,269
2006,CHEVROLET,6251
2006,CHRYSLER,576
2006,CITROEN,514
2006,DAEWOO,487
2006,DAIHATSU,1769
2006,DAIMLER,24
2006,DATSUN,21
2006,DODGE,6
2006,FERRARI,178
2006,FIAT,770
2006,FORD,6036
2006,GEELY,19
2006,HOLDEN,5
2006,HONDA,53792
2006,HYUNDAI,45393
2006,ISUZU,19
2006,JAGUAR,1862
2006,JEEP,63
2006,KIA,15558
2006,LAMBORGHINI,80
2006,LANCIA,6
2006,LAND ROVER,257
2006,LOTUS,70
2006,M.G.,130
2006,MASERATI,105
2006,MAZDA,21161
2006,MERCEDES BENZ,25150
2006,MG-F,9
2006,MINI,744
2006,MINI MAYFAIR,5
2006,MITSUBISHI,31264
2006,MORGAN,6
2006,MORRIS,99
2006,NISSAN,64904
2006,OPEL,2142
2006,OTHERS 2,64
2006,PANTHER,7
2006,PERODUA,1446
2006,PEUGEOT,2202
2006,PORSCHE,912
2006,PROTON,4630
2006,RENAULT,3139
2006,ROLLS ROYCE,116
2006,ROVER,212
2006,SAAB,1588
2006,SEAT,113
2006,SKODA,372
2006,SSANGYONG,133
2006,SUBARU,7600
2006,SUNBEAM,8
2006,SUZUKI,8201
2006,TD CARS,5
2006,TOYOTA,135799
2006,TRIUMPH,34
2006,VOLKSWAGEN,2900
2006,VOLVO,5416
2007,ALFA ROMEO,900
2007,ASTON MARTIN,54
2007,AUDI,3115
2007,AUSTIN,155
2007,B.M.W.,18321
