year,cc_rating,number
2005,100cc and below,3049
2005,101-200cc,104528
2005,201-300cc,3268
2005,301-400cc,18375
2005,401-500cc,209
2005,501-1000cc,5960
2005,1001cc and above,3199
2006,100cc and below,2548
2006,101-200cc,107778
2006,201-300cc,3167
2006,301-400cc,18319
2006,401-500cc,237
2006,501-1000cc,6463
2006,1001cc and above,3369
2007,100cc and below,2091
2007,101-200cc,108991
2007,201-300cc,3021
2007,301-400cc,18545
2007,401-500cc,250
2007,501-1000cc,6997
2007,1001cc and above,3587
2008,100cc and below,1720
2008,101-200cc,109820
2008,201-300cc,2951
2008,301-400cc,19020
2008,401-500cc,281
2008,501-1000cc,7624
2008,1001cc and above,3872
2009,100cc and below,1500
2009,101-200cc,110623
2009,201-300cc,2905
2009,301-400cc,18717
2009,401-500cc,328
2009,501-1000cc,8125
2009,1001cc and above,4139
2010,100cc and below,1365
2010,101-200cc,111150
2010,201-300cc,2914
2010,301-400cc,18501
2010,401-500cc,370
2010,501-1000cc,8494
2010,1001cc and above,4488
2011,100cc and below,1205
2011,101-200cc,108983
2011,201-300cc,2872
2011,301-400cc,18282
2011,401-500cc,421
2011,501-1000cc,8919
2011,1001cc and above,4998
2012,100cc and below,945
2012,101-200cc,106085
2012,201-300cc,2875
2012,301-400cc,17932
2012,401-500cc,433
2012,501-1000cc,9475
2012,1001cc and above,5541
2013,100cc and below,745
2013,101-200cc,105735
2013,201-300cc,2973
2013,301-400cc,17993
2013,401-500cc,440
2013,501-1000cc,10246
2013,1001cc and above,6175
2014,100cc and below,684
2014,101-200cc,103249
2014,201-300cc,3054
2014,301-400cc,18773
2014,401-500cc,437
2014,501-1000cc,11103
2014,1001cc and above,7104
2015,100cc and below,653
2015,101-200cc,99765
2015,201-300cc,3061
2015,301-400cc,19513
2015,401-500cc,419
2015,501-1000cc,12061
2015,1001cc and above,7807
2016,100cc and below,618
2016,101-200cc,97306
2016,201-300cc,3013
2016,301-400cc,19817
2016,401-500cc,407
2016,501-1000cc,12864
2016,1001cc and above,8414
2017,100cc and below,561
2017,101-200cc,94609
2017,201-300cc,3330
2017,301-400cc,19937
2017,401-500cc,401
2017,501-1000cc,13585
2017,1001cc and above,8881
2018,100cc and below,401
2018,101-200cc,91057
2018,201-300cc,4102
2018,301-400cc,18551
2018,401-500cc,377
2018,501-1000cc,13613
2018,1001cc and above,8741
2019,100cc and below,326
2019,101-200cc,94188
2019,201-300cc,5842
2019,301-400cc,17290
2019,401-500cc,366
2019,501-1000cc,13758
2019,1001cc and above,8628
