year,make,number
2005,APRILIA,1075
2005,B.M.W.,610
2005,B.S.A.,12
2005,BAJAJ,198
2005,BENELLI,71
2005,BIMOTA,6
2005,CAGIVA,186
2005,CHUNLAN,39
2005,COSA,413
2005,DAELIM,2755
2005,DUCATI,319
2005,GAS GAS,53
2005,HARLEY DAVIDSON,892
2005,HARTFORD,9
2005,HONDA,65881
2005,HUSQVARNA,36
2005,HYOSUNG,404
2005,ITALJET,41
2005,K.T.M.,701
2005,KAWASAKI,4129
2005,KYMCO,784
2005,LAMBRETTA,17
2005,LML,630
2005,M.V. AUGUSTA,11
2005,MODENAS,359
2005,MOTO GUZZI,20
2005,NORTON,20
2005,OTHERS,39
2005,P.G.O.,199
2005,PAIJIFA,10
2005,PIAGGIO,6863
2005,SANG YANG,15
2005,SANYANG,262
2005,SIPSTAR,27
2005,SUZUKI,8297
2005,SYM,722
2005,TGB,9
2005,TIGER,66
2005,TRIUMPH,48
2005,VESPA,7012
2005,YAMAHA,35955
2005,ZONGSHEN,239
2006,APRILIA,1075
2006,B.M.W.,632
2006,B.S.A.,21
2006,BAJAJ,754
2006,BENELLI,70
2006,BIMOTA,6
2006,CAGIVA,167
2006,CHUNLAN,34
2006,COSA,320
2006,DAELIM,2618
2006,DUCATI,355
2006,GAS GAS,46
2006,HARLEY DAVIDSON,1005
2006,HARTFORD,7
2006,HONDA,66879
2006,HUSQVARNA,50
2006,HYOSUNG,405
2006,ITALJET,29
2006,K.T.M.,694
2006,KAWASAKI,4106
2006,KYMCO,819
2006,LAMBRETTA,17
2006,LML,635
2006,M.V. AGUSTA,20
2006,MODENAS,348
2006,MOTO GUZZI,20
2006,NORTON,21
2006,OTHERS,35
2006,P.G.O.,202
2006,PAIJIFA,9
2006,PIAGGIO,7452
2006,ROYAL ENFIELD,20
2006,SANG YANG,15
2006,SANYANG,219
2006,SUZUKI,8179
2006,SYM,1027
2006,TGB,8
2006,TIGER,47
2006,TRIUMPH,72
2006,VESPA,6404
2006,YAMAHA,37640
2006,ZIPSTAR,25
2006,ZONGSHEN,229
2007,APRILIA,1050
2007,B.M.W.,652
2007,B.S.A.,21
2007,BAJAJ,1102
2007,BENELLI,75
2007,BIMOTA,6
2007,CAGIVA,142
2007,CHUNLAN,25
2007,COSA,265
2007,DAELIM,2375
2007,DUCATI,436
2007,GAS GAS,37
2007,HARLEY DAVIDSON,1115
2007,HARTFORD,5
2007,HONDA,67340
2007,HUSQVARNA,54
2007,HYOSUNG,349
2007,ITALJET,18
2007,K.T.M.,691
2007,KAWASAKI,4042
2007,KYMCO,821
2007,LAMBRETTA,17
2007,LML,585
2007,M.V. AGUSTA,25
2007,MODENAS,334
2007,MOTO GUZZI,28
2007,NORTON,21
2007,OTHERS,31
2007,P.G.O.,208
2007,PAIJIFA,8
2007,PIAGGIO,7712
2007,ROYAL ENFIELD,29
2007,SANG YANG,15
2007,SANYANG,195
2007,SUZUKI,8227
2007,SYM,1203
2007,TGB,5
2007,TIGER,36
2007,TRIUMPH,91
2007,VESPA,5917
2007,YAMAHA,38806
2007,ZIPSTAR,20
2007,ZONGSHEN,206
2008,ADIVA,10
2008,APRILIA,1033
2008,B.M.W.,706
2008,B.S.A.,21
2008,BAJAJ,1587
2008,BENELLI,72
2008,BIMOTA,6
2008,CAGIVA,110
2008,CHUNLAN,21
2008,COSA,225
2008,CPI,11
2008,DAELIM,2120
2008,DERBI,6
2008,DUCATI,521
2008,GAS GAS,27
2008,HARLEY DAVIDSON,1200
2008,HARTFORD,5
2008,HONDA,67459
2008,HUSQVARNA,74
2008,HYOSUNG,294
2008,ITALJET,16
2008,K.T.M.,690
2008,KAWASAKI,4005
2008,KYMCO,886
2008,LAMBRETTA,17
2008,LML,556
2008,M.V. AGUSTA,25
2008,MODENAS,304
2008,MOTO GUZZI,33
2008,NORTON,19
2008,OTHERS,31
2008,P.G.O.,219
2008,PAIJIFA,8
2008,PIAGGIO,7866
2008,ROYAL ENFIELD,41
2008,SACHS,130
2008,SANG YANG,14
2008,SANYANG,181
2008,SUZUKI,8403
2008,SYM,1420
2008,TIGER,31
2008,TRIUMPH,126
2008,VESPA,5536
2008,YAMAHA,39865
2008,ZIPSTAR,16
2008,ZONGSHEN,174
2009,ADIVA,27
2009,APRILIA,1073
2009,B.M.W.,743
2009,B.S.A.,21
2009,BAJAJ,1952
2009,BENELLI,65
2009,BIMOTA,6
2009,CAGIVA,94
2009,CAN-AM,5
2009,CHUNLAN,11
2009,COSA,182
2009,CPI,26
2009,DAELIM,2011
2009,DERBI,39
2009,DUCATI,595
2009,GAS GAS,18
2009,HARLEY DAVIDSON,1277
2009,HONDA,66702
2009,HUSQVARNA,96
2009,HYOSUNG,242
2009,ITALJET,13
2009,K.T.M.,673
2009,KAWASAKI,3936
2009,KYMCO,906
2009,LAMBRETTA,17
2009,LML,479
2009,M.V. AGUSTA,30
2009,MODENAS,279
2009,MOTO GUZZI,39
2009,NORTON,20
2009,OTHERS,36
2009,P.G.O.,226
2009,PAIJIFA,8
2009,PIAGGIO,8045
2009,ROYAL ENFIELD,52
2009,SACHS,159
2009,SANG YANG,11
2009,SANYANG,171
2009,SUZUKI,8281
2009,SYM,1651
2009,TIGER,16
2009,TRIUMPH,171
2009,VESPA,5117
2009,YAMAHA,41543
2009,ZIPSTAR,13
2009,ZONGSHEN,138
2010,ADIVA,40
2010,APRILIA,1152
2010,B.M.W.,825
2010,B.S.A.,21
2010,BAJAJ,2166
2010,BENELLI,61
2010,BIMOTA,7
2010,CAGIVA,79
2010,CAN-AM,16
2010,CHUNLAN,8
2010,COSA,140
2010,CPI,26
2010,DAELIM,1940
2010,DERBI,65
2010,DUCATI,724
2010,EMAX,5
2010,GAS GAS,15
2010,HARLEY DAVIDSON,1372
2010,HONDA,65354
2010,HUSQVARNA,108
2010,HYOSUNG,193
2010,ITALJET,8
2010,K.T.M.,684
2010,KAWASAKI,3821
2010,KYMCO,912
2010,LAMBRETTA,17
2010,LML,384
2010,M.V. AGUSTA,51
2010,MODENAS,229
2010,MOTO GUZZI,42
2010,NORTON,20
2010,OTHERS,32
2010,P.G.O.,235
2010,PAIJIFA,7
2010,PIAGGIO,8261
2010,RIEJU,27
2010,ROYAL ENFIELD,57
2010,SACHS,173
2010,SANG YANG,10
2010,SANYANG,149
2010,SUZUKI,7998
2010,SYM,1996
2010,TIGER,11
2010,TRIUMPH,214
2010,TVS,76
2010,VESPA,4851
2010,YAMAHA,43397
2010,ZIPSTAR,11
2010,ZONGSHEN,170
2011,ADIVA,62
2011,APRILIA,1265
2011,B.M.W.,959
2011,B.S.A.,21
2011,BAJAJ,2251
2011,BENELLI,40
2011,BIMOTA,7
2011,CAGIVA,81
2011,CAN-AM,24
2011,COSA,92
2011,CPI,71
2011,DAELIM,1895
2011,DERBI,76
2011,DUCATI,885
2011,EMAX,6
2011,GAS GAS,9
