year,make,number
2005,Aprilia,150
2005,B.M.W.,34
2005,Bajaj,130
2005,Benelli,7
2005,Daelim,219
2005,Ducati,35
2005,Harley Davidson,109
2005,Honda,5405
2005,Hyosung,91
2005,K.T.M.,28
2005,Kawasaki,295
2005,Kymco,116
2005,Lml,99
2005,Others,19
2005,P.G.O.,35
2005,Piaggio,1027
2005,Suzuki,639
2005,Sym,589
2005,Yamaha,3063
2005,Zipstar,23
2005,Zongshen,129
2006,Aprilia,128
2006,B.M.W.,44
2006,Bajaj,563
2006,Cagiva,5
2006,Daelim,162
2006,Ducati,49
2006,Harley Davidson,143
2006,Honda,3318
2006,Husqvarna,17
2006,Hyosung,38
2006,K.T.M.,35
2006,Kawasaki,150
2006,Kymco,97
2006,Lml,21
2006,M.V. Agusta,13
2006,Others,5
2006,P.G.O.,37
2006,Piaggio,994
2006,Royal Enfield,16
2006,Suzuki,810
2006,Sym,310
2006,Triumph,20
2006,Yamaha,4547
2006,Zongshen,6
2007,Aprilia,82
2007,B.M.W.,47
2007,Bajaj,359
2007,Benelli,5
2007,Daelim,105
2007,Ducati,99
2007,Harley Davidson,158
2007,Honda,3176
2007,Husqvarna,10
2007,K.T.M.,45
2007,Kawasaki,118
2007,Kymco,68
2007,M.V. Agusta,7
2007,Moto Guzzi,8
2007,Others,8
2007,P.G.O.,38
2007,Piaggio,863
2007,Royal Enfield,9
2007,Suzuki,912
2007,Sym,183
2007,Triumph,22
2007,Vespa,17
2007,Yamaha,4102
2008,Adiva,7
2008,Aprilia,74
2008,B.M.W.,67
2008,Bajaj,491
2008,Cpi,11
2008,Daelim,152
2008,Derbi,6
2008,Ducati,101
2008,Harley Davidson,135
2008,Honda,2776
2008,Husqvarna,25
2008,K.T.M.,60
2008,Kawasaki,112
2008,Kymco,131
2008,Moto Guzzi,5
2008,Others,1
2008,P.G.O.,38
2008,Piaggio,719
2008,Royal Enfield,13
2008,Sachs,130
2008,Suzuki,961
2008,Sym,262
2008,Triumph,37
2008,Vespa,28
2008,Yamaha,4066
2009,Adiva,17
2009,Aprilia,101
2009,B.M.W.,59
2009,Bajaj,374
2009,Can-Am,5
2009,Cpi,15
2009,Daelim,172
2009,Derbi,33
2009,Ducati,88
2009,Harley Davidson,115
2009,Honda,2065
2009,Husqvarna,34
2009,K.T.M.,60
2009,Kawasaki,65
2009,Kymco,98
2009,M.V. Agusta,6
2009,Moto Guzzi,6
2009,Others,11
2009,P.G.O.,32
2009,Piaggio,644
2009,Royal Enfield,11
2009,Sachs,29
2009,Suzuki,541
2009,Sym,347
2009,Triumph,46
2009,Vespa,31
2009,Yamaha,3953
2010,Adiva,13
2010,Aprilia,142
2010,B.M.W.,100
2010,Bajaj,224
2010,Can-Am,11
2010,Daelim,154
2010,Derbi,26
2010,Ducati,144
2010,Harley Davidson,152
2010,Honda,1494
2010,Husqvarna,17
2010,K.T.M.,63
2010,Kawasaki,81
2010,Kymco,90
2010,M.V. Agusta,22
2010,Others,15
2010,P.G.O.,23
2010,Piaggio,686
2010,Rieju,27
2010,Royal Enfield,5
2010,Sachs,16
2010,Suzuki,356
2010,Sym,414
2010,Triumph,45
2010,TVS,75
2010,Vespa,20
2010,Yamaha,3834
2010,Zongshen,67
2011,Adiva,22
2011,Aprilia,178
2011,B.M.W.,148
2011,Bajaj,108
2011,Can-Am,8
2011,Cpi,45
2011,Daelim,154
2011,Derbi,11
2011,Ducati,175
2011,Harley Davidson,189
2011,Honda,1369
2011,Husqvarna,24
2011,K.T.M.,132
2011,Kawasaki,128
2011,Keeway,19
2011,Kymco,78
2011,M.V. Agusta,9
2011,Megelli,45
2011,Modenas,17
