year,make,number
2005,TOYOTA,238
2005,MERCEDES BENZ,98
2005,VOLVO,19
2005,NISSAN,178
2005,MITSUBISHI,83
2005,SCANIA,18
2005,KING LONG,12
2005,ISUZU,46
2005,OPEL,20
2005,FORD,21
2005,HINO,5
2005,KIA,35
2005,RENAULT,6
2005,VOLKSWAGEN,4
2005,OTHERS,1
2006,TOYOTA,231
2006,MERCEDES BENZ,46
2006,VOLVO,208
2006,NISSAN,112
2006,MITSUBISHI,169
2006,SCANIA,45
2006,KING LONG,17
2006,ISUZU,116
2006,OPEL,8
2006,FORD,4
2006,HINO,6
2006,KIA,29
2006,RENAULT,3
2006,VOLKSWAGEN,8
2006,OTHERS,10
2007,ISUZU,92
2007,KING LONG,45
2007,MERCEDES BENZ,52
2007,OPEL,14
2007,SCANIA,123
2007,TOYOTA,483
2007,OTHERS,14
2008,CITROEN,11
2008,FIAT,13
2008,GOLDEN DRAGON,12
2008,HYUNDAI,10
2008,ISUZU,84
2008,KING LONG,51
2008,MERCEDES BENZ,126
2008,MITSUBISHI,46
2008,NISSAN,93
2008,OPEL,9
2008,PEUGEOT,7
2008,SCANIA,400
2008,TOYOTA,601
2008,YUTONG,34
2008,ZONDA,12
2008,OTHERS,5
2009,CITROEN,6
2009,FIAT,17
2009,HIGER,28
2009,HYUNDAI,10
2009,ISUZU,67
2009,KING LONG,69
2009,MERCEDES BENZ,113
2009,MITSUBISHI,85
2009,NISSAN,76
2009,OPEL,6
2009,PEUGEOT,5
2009,SCANIA,442
2009,TOYOTA,416
2009,YUTONG,20
2009,ZONDA,21
2009,OTHERS,12
2010,FOTON,17
2010,GOLDEN DRAGON,50
2010,HIGER,58
2010,HYUNDAI,6
2010,ISUZU,92
2010,KING LONG,118
2010,MAN,13
2010,MERCEDES BENZ,49
2010,MITSUBISHI,50
2010,NISSAN,71
2010,SCANIA,244
2010,TOYOTA,263
2010,VOLVO,28
2010,YUTONG,34
2010,ZHONG TONG,8
2010,ZONDA,7
2010,OTHERS,15
2011,FOTON,18
2011,GOLDEN DRAGON,149
2011,HIGER,48
2011,HYUNDAI,8
2011,ISUZU,56
2011,KING LONG,129
2011,MAN,61
2011,MERCEDES BENZ,232
2011,MITSUBISHI,40
2011,NISSAN,118
2011,SCANIA,49
2011,SUNLONG,19
2011,TOYOTA,371
2011,VOLVO,187
2011,YUTONG,24
2011,ZHONG TONG,14
2011,OTHERS,17
2012,FOTON,12
2012,GOLDEN DRAGON,82
2012,HIGER,25
2012,HYUNDAI,8
2012,ISUZU,33
2012,KING LONG,27
2012,MAN,140
2012,MERCEDES BENZ,189
2012,MITSUBISHI,12
2012,NISSAN,39
2012,SCANIA,21
2012,SUNLONG,28
2012,TOYOTA,266
2012,VOLVO,235
2012,YUTONG,27
2012,ZHONG TONG,8
2012,OTHERS,10
2013,ANKAI,15
2013,FOTON,10
2013,GOLDEN DRAGON,40
2013,HIGER,18
2013,HYUNDAI,8
2013,ISUZU,34
2013,JOYLONG,25
2013,KING LONG,42
2013,MAN,188
2013,MERCEDES BENZ,221
2013,MITSUBISHI,70
2013,NISSAN,98
2013,SCANIA,30
2013,SUNLONG,26
2013,TOYOTA,272
2013,VOLVO,225
2013,YUTONG,33
2013,ZHONG TONG,19
2013,OTHERS,9
2014,ALEXANDER DENNIS,91
2014,COBUS,6
2014,GOLDEN DRAGON,34
2014,HYUNDAI,14
2014,JOYLONG,46
2014,KING LONG,8
2014,MAN,203
2014,MERCEDES BENZ,271
2014,MITSUBISHI,60
2014,NISSAN,137
2014,SCANIA,12
2014,TOYOTA,510
2014,VOLVO,245
2014,YUTONG,34
2014,ZHONG TONG,11
2014,OTHERS,12
2015,ALEXANDER DENNIS,110
2015,ANKAI,5
2015,FOTON,5
2015,GOLDEN DRAGON,43
2015,HYUNDAI,9
2015,ISUZU,62
2015,JOYLONG,17
2015,KING LONG,23
2015,MAN,172
2015,MERCEDES BENZ,200
