year,make,number
2011,TOYOTA,15050
2011,HONDA,11263
2011,NISSAN,5275
2011,B.M.W.,5494
2011,MERCEDES BENZ,4040
2011,HYUNDAI,4496
2011,MITSUBISHI,4452
2011,MAZDA,2940
2011,VOLKSWAGEN,1768
2011,KIA,2670
2011,AUDI,1428
2011,SUBARU,2314
2011,SUZUKI,2230
2011,CHEVROLET,1320
2011,VOLVO,914
2011,PORSCHE,554
2011,PEUGEOT,515
2011,MINI,429
2011,FORD,382
2011,JAGUAR,343
2011,PROTON,521
2011,RENAULT,383
2011,FIAT,459
2011,CITROEN,163
2011,DAIHATSU,343
2011,PERODUA,339
2011,OPEL,271
2011,CHERY,236
2011,SAAB,190
2011,LAND ROVER,56
2011,FERRARI,99
2011,MASERATI,114
2011,ALFA ROMEO,187
2011,LAMBORGHINI,79
2011,BENTLEY,56
2011,CHRYSLER,108
2011,GEELY,96
2011,SKODA,40
2011,SSANGYONG,50
2011,ROLLS ROYCE,19
2011,AUSTIN,91
2011,JEEP,26
2011,LOTUS,26
2011,ASTON MARTIN,26
2011,HAFEI,31
2011,INFINITI,1
2011,M.G.,29
2011,ROVER,6
2011,MORRIS,18
2011,DODGE,10
2011,DONGFENG,5
2011,NAZA,6
2011,MORGAN,7
2011,ZOTYE,6
2011,MG-F,1
2011,MITSUOKA,4
2011,CHANA,25
2011,DAIMLER,3
2011,WULING,5
2011,HUMMER,3
2011,NOBLE,1
2011,PANTHER,2
2011,TRIUMPH,5
2011,DAEWOO,3
2011,MAXWELL,1
2011,MAYBACH,1
2011,SOYAT,1
2011,TD CARS,2
2012,TOYOTA,16641
2012,HONDA,11594
2012,NISSAN,5474
2012,B.M.W.,6103
2012,MERCEDES BENZ,4930
2012,HYUNDAI,4689
2012,MITSUBISHI,4346
2012,MAZDA,2935
2012,VOLKSWAGEN,2344
2012,KIA,2787
2012,AUDI,1935
2012,SUBARU,2345
2012,SUZUKI,2201
2012,CHEVROLET,1485
2012,VOLVO,1053
2012,PORSCHE,632
2012,PEUGEOT,572
2012,MINI,479
2012,FORD,422
2012,JAGUAR,368
2012,PROTON,487
2012,RENAULT,391
2012,FIAT,457
2012,CITROEN,238
2012,DAIHATSU,302
2012,PERODUA,311
2012,OPEL,246
2012,CHERY,237
2012,SAAB,204
2012,LAND ROVER,118
2012,FERRARI,139
2012,MASERATI,144
2012,ALFA ROMEO,173
2012,LAMBORGHINI,100
2012,BENTLEY,87
2012,CHRYSLER,120
2012,GEELY,106
2012,SKODA,51
2012,SSANGYONG,48
2012,ROLLS ROYCE,21
2012,AUSTIN,132
2012,JEEP,34
2012,LOTUS,24
2012,ASTON MARTIN,30
2012,HAFEI,27
2012,INFINITI,9
2012,M.G.,17
2012,ROVER,8
2012,MORRIS,8
2012,DODGE,11
2012,DONGFENG,10
2012,Mclaren,1
2012,NAZA,8
2012,MORGAN,6
2012,ZOTYE,9
2012,MG-F,3
2012,MITSUOKA,1
2012,CHANA,10
2012,DAIMLER,4
2012,WULING,6
2012,HUMMER,8
2012,DATSUN,20
2012,SMART,1
2012,STANDARD,4
2012,TRIUMPH,10
2012,CORBIN,2
2012,DAEWOO,2
2012,FOTON,2
2012,MAYBACH,1
2012,SEAT,1
2012,SOYAT,1
2012,SWIFT,1
2012,TD CARS,1
2013,TOYOTA,13642
2013,HONDA,8756
2013,NISSAN,4654
2013,B.M.W.,5214
2013,MERCEDES BENZ,4426
2013,HYUNDAI,3649
2013,MITSUBISHI,3210
2013,MAZDA,2425
2013,VOLKSWAGEN,2210
2013,KIA,2029
2013,AUDI,1622
2013,SUBARU,1724
2013,SUZUKI,1567
2013,CHEVROLET,1079
2013,VOLVO,939
2013,PORSCHE,614
2013,PEUGEOT,514
2013,MINI,453
2013,FORD,360
2013,JAGUAR,335
2013,PROTON,334
2013,RENAULT,317
2013,FIAT,338
2013,CITROEN,190
2013,DAIHATSU,241
2013,PERODUA,242
2013,OPEL,215
2013,CHERY,188
2013,SAAB,164
2013,LAND ROVER,138
2013,FERRARI,146
2013,MASERATI,114
2013,ALFA ROMEO,142
2013,LAMBORGHINI,81
2013,BENTLEY,95
2013,CHRYSLER,101
2013,GEELY,70
2013,SKODA,51
2013,SSANGYONG,41
2013,ROLLS ROYCE,38
2013,AUSTIN,39
2013,JEEP,32
2013,LOTUS,32
2013,ASTON MARTIN,40
2013,HAFEI,30
2013,INFINITI,22
2013,M.G.,9
2013,ROVER,3
2013,MORRIS,14
2013,DODGE,9
2013,DONGFENG,17
2013,Mclaren,9
2013,NAZA,5
2013,MORGAN,5
2013,ZOTYE,7
2013,MG-F,3
2013,MITSUOKA,4
2013,CHANA,5
2013,DAIMLER,1
2013,WULING,4
2013,HUMMER,6
2013,DATSUN,30
2013,SMART,1
2013,HOLDEN,1
2013,PANTHER,1
2013,SUNBEAM,1
2013,DAEWOO,1
2013,DE-LOREAN,1
2013,MAYBACH,1
2013,SOYAT,1
2013,TD CARS,3
2014,TOYOTA,15237
2014,HONDA,8977
2014,NISSAN,5525
2014,B.M.W.,5358
2014,MERCEDES BENZ,4966
2014,HYUNDAI,4123
2014,MITSUBISHI,3439
2014,MAZDA,2690
2014,VOLKSWAGEN,2233
2014,KIA,2189
2014,AUDI,1819
2014,SUBARU,1794
2014,SUZUKI,1652
