year,category,number
2005,Category A,59217
2005,Category B,28859
2005,Category C,12977
2005,Category D,9670
2005,Taxis,5918
2005,Vehicles Exempted From VQS,820
2006,Category A,54110
2006,Category B,28701
2006,Category C,9102
2006,Category D,8212
2006,Taxis,4163
2006,Vehicles Exempted From VQS,521
2007,Category A,39895
2007,Category B,24250
2007,Category C,5174
2007,Category D,8833
2007,Taxis,2763
2007,Vehicles Exempted From VQS,640
2008,Category A,38107
2008,Category B,23162
2008,Category C,4529
2008,Category D,8587
2008,Taxis,2526
2008,Vehicles Exempted From VQS,1009
2009,Category A,25460
2009,Category B,16674
2009,Category C,4008
2009,Category D,7827
2009,Taxis,3181
2009,Vehicles Exempted From VQS,952
2010,Category A,13068
2010,Category B,10394
2010,Category C,5512
2010,Category D,7340
2010,Taxis,3492
2010,Vehicles Exempted From VQS,901
2011,Category A,12846
2011,Category B,6529
2011,Category C,3938
2011,Category D,9650
2011,Taxis,2881
2011,Vehicles Exempted From VQS,1136
2012,Category A,6562
2012,Category B,7023
2012,Category C,4446
2012,Category D,12310
2012,Taxis,2539
2012,Vehicles Exempted From VQS,1469
2013,Category A,9329
2013,Category B,8944
2013,Category C,7107
2013,Category D,10630
2013,Taxis,4005
2013,Vehicles Exempted From VQS,1486
2014,Category A,18562
2014,Category B,14811
2014,Category C,11868
2014,Category D,8052
2014,Taxis,3151
2014,Vehicles Exempted From VQS,1277
2015,Category A,44450
2015,Category B,27302
2015,Category C,14974
2015,Category D,8583
2015,Taxis,4537
2015,Vehicles Exempted From VQS,1013
2016,Category A,53191
2016,Category B,35126
2016,Category C,16687
2016,Category D,9165
2016,Taxis,4519
2016,Vehicles Exempted From VQS,919
2017,Category A,45621
2017,Category B,35167
2017,Category C,20685
2017,Category D,10786
2017,Taxis,7164
2017,Vehicles Exempted From VQS,953
2018,Category A,43719
2018,Category B,33142
2018,Category C,13817
2018,Category D,16515
2018,Taxis,3903
2018,Vehicles Exempted From VQS,1036
2019,Category A,29778
2019,Category B,27783
2019,Category C,13841
2019,Category D,15933
2019,Taxis,5588
2019,Vehicles Exempted From VQS,767
